Gi,GVhel,mag,Type,Type II Label
90.0,3412.0,16.2,II,Type II
87.0,2082.0,14.0,II,Type II
0.0,241.0,17.5,II:,Type II
0.0,241.0,11.4,IIL,Type II
0.0,241.0,13.5,II:,Type II
53.0,1390.0,18.8,II,Type II
61.0,7885.0,16.8,II,Type II
90.0,2145.0,18.3,IIP,Type II
51.0,5137.0,17.4,II,Type II
30.0,7195.0,17.2,II,Type II
32.0,7615.0,17.0,II,Type II
40.0,8795.0,18.0,IIPec,Type II
59.0,4866.0,17.5,II,Type II
57.0,1682.0,16.9,II,Type II
60.0,7355.0,16.6,II,Type II
78.0,5025.0,16.9,II,Type II
78.0,5025.0,17.1,IIP,Type II
69.0,3532.0,18.9,IIPec,Type II
68.0,816.0,13.4,IIL,Type II
50.0,5794.0,17.2,II,Type II
30.0,5761.0,18.0,IIPec,Type II
47.0,5022.0,18.1,II,Type II
59.0,6143.0,17.5,II,Type II
61.0,5366.0,17.5,II,Type II
41.0,4478.0,16.0,II,Type II
90.0,4226.0,17.2,II,Type II
53.0,4465.0,17.5,II,Type II
50.0,3124.0,15.8,II:,Type II
62.0,7923.0,18.7,II,Type II
62.0,7923.0,17.5,IIb,Type II
55.0,6528.0,18.9,II,Type II
90.0,9723.0,18.1,IIn,Type II
30.0,48.0,15.0,II,Type II
30.0,48.0,14.6,II,Type II
30.0,48.0,11.6,IIL,Type II
30.0,48.0,12.2,II,Type II
30.0,48.0,13.5,II,Type II
30.0,48.0,14.7,IIP,Type II
82.0,5704.0,17.2,II,Type II
90.0,5188.0,17.8,II,Type II
41.0,1424.0,14.5,IIn,Type II
46.0,7500.0,17.4,II,Type II
58.0,1481.0,16.9,II,Type II
58.0,1481.0,16.0,II,Type II
40.0,1555.0,18.0,II,Type II
62.0,1584.0,14.0,II,Type II
41.0,2963.0,16.8,II,Type II
63.0,7271.0,17.5,II,Type II
62.0,5413.0,16.7,II,Type II
61.0,1831.0,15.4,II,Type II
46.0,4754.0,18.5,II,Type II
32.0,5662.0,16.0,II,Type II
47.0,1094.0,15.8,II,Type II
54.0,1515.0,15.0,II,Type II
63.0,11363.0,20.7,IIP,Type II
70.0,8018.0,17.1,II,Type II
32.0,12702.0,18.5,II,Type II
52.0,3256.0,15.5,II,Type II
24.0,3449.0,14.5,IIn,Type II
76.0,1753.0,16.5,II,Type II
17.0,5302.0,17.0,II,Type II
56.0,4060.0,17.0,II,Type II
40.0,5261.0,17.7,II,Type II
38.0,5425.0,18.0,II:,Type II
38.0,5425.0,16.2,IIn,Type II
38.0,5425.0,15.5,II,Type II
41.0,5182.0,16.0,IIn,Type II
24.0,657.0,13.2,II,Type II
62.0,7445.0,17.8,II,Type II
90.0,7558.0,17.6,IIn,Type II
46.0,4901.0,17.2,II,Type II
36.0,2833.0,16.2,II,Type II
53.0,5696.0,17.7,II,Type II
38.0,6029.0,16.9,II,Type II
65.0,5225.0,16.1,II,Type II
59.0,9904.0,17.0,II,Type II
80.0,2674.0,16.4,II,Type II
72.0,9340.0,18.8,II,Type II
56.0,4866.0,17.1,II,Type II
62.0,8450.0,18.4,II,Type II
36.0,4817.0,17.8,II,Type II
60.0,2905.0,16.8,II,Type II
84.0,5311.0,18.5,II,Type II
74.0,7554.0,18.0,II,Type II
71.0,5398.0,16.5,II,Type II
44.0,5281.0,17.7,IIPec,Type II
38.0,5271.0,18.0,II:,Type II
70.0,12594.0,19.0,II,Type II
43.0,5280.0,17.9,II,Type II
77.0,4213.0,16.8,II,Type II
40.0,10622.0,18.8,II,Type II
62.0,4277.0,16.9,II,Type II
24.0,9986.0,18.3,II,Type II
46.0,5794.0,17.5,II,Type II
38.0,4923.0,17.8,II,Type II
34.0,19187.0,18.0,IIPec,Type II
40.0,1843.0,14.5,II,Type II
46.0,1875.0,18.6,II,Type II
46.0,14990.0,18.7,IIPec,Type II
64.0,1906.0,17.0,II,Type II
86.0,2673.0,16.9,II,Type II
70.0,8898.0,17.8,IIn,Type II
44.0,4850.0,17.1,II,Type II
44.0,4850.0,16.0,IIPec,Type II
32.0,717.0,13.8,IIP,Type II
65.0,5248.0,16.6,II,Type II
21.0,4155.0,15.5,II,Type II
21.0,4155.0,17.2,IIn,Type II
57.0,3522.0,16.7,II,Type II
48.0,1543.0,15.9,IIb:,Type II
30.0,4835.0,17.8,II,Type II
66.0,7539.0,16.1,II:,Type II
64.0,7483.0,18.4,II,Type II
90.0,3000.0,18.0,II,Type II
62.0,7740.0,16.0,IIn,Type II
46.0,7495.0,15.8,II,Type II
