Gi,GVhel,mag,Type,Type II Label
53.896380619631024,9986.0,18.3,II,Type II
60.83716363025074,6132.0,18.0,IIb,Type II
56.177309295454656,2940.0,17.5,II,Type II
41.27583965700374,5271.0,18.0,II:,Type II
51.395766493734705,4850.0,17.1,II,Type II
95.92845440429394,4244.0,18.0,II,Type II
52.896214889094786,13828.0,17.7,II,Type II
39.58992763263158,4234.0,17.2,II,Type II
58.93983707185555,2472.0,16.4,II,Type II
34.33087501460771,5022.0,18.1,II,Type II
58.37890379579994,2094.0,16.0,II,Type II
64.52799642206216,2519.0,17.0,II,Type II
72.43377932080621,3119.0,17.0,II,Type II
64.0888612606519,6537.0,18.7,IIb,Type II
41.357775617045064,1480.0,14.5,II,Type II
54.0961894482581,9896.0,17.5,II,Type II
42.5449044468113,1270.0,13.5,II,Type II
43.577245669695685,13828.0,17.7,II,Type II
53.67043820994449,9436.0,18.0,II,Type II
81.2718321299278,4850.0,17.1,II,Type II
50.87345634012643,2519.0,17.0,II,Type II
53.58387794515109,5182.0,16.0,IIn,Type II
40.722201254337186,7789.0,16.1,IIn,Type II
15.122056672513573,9186.0,17.0,II,Type II
84.34033655413447,8292.0,17.8,IIn,Type II
24.789815946733015,1481.0,16.0,II,Type II
43.727253031542226,12594.0,19.0,II,Type II
47.160411827354174,816.0,13.4,IIL,Type II
46.517128780234145,7358.0,18.0,IIb,Type II
79.2809841898059,1927.0,16.4,II,Type II
85.78378982377586,7210.0,17.9,II,Type II
76.13747276819512,565.0,15.5,IIP,Type II
83.67460018524875,5425.0,16.2,IIn,Type II
61.6087624614591,4850.0,17.1,II,Type II
50.14489897011694,3315.0,17.5,II,Type II
55.46604661887365,3680.0,17.0,II,Type II
71.95334033372866,6663.0,17.8,II,Type II
27.29122564497835,8056.0,17.0,II,Type II
49.306179070077306,1566.0,15.6,II,Type II
73.5533406370231,8963.0,18.0,II,Type II
80.70664604640329,1149.0,12.6,IIL,Type II
66.38467781062397,7529.0,17.9,II,Type II
39.53458459131799,19187.0,18.0,IIPec,Type II
31.212942011985035,6725.0,18.0,II,Type II
77.70132922240258,5260.0,15.5,IIn,Type II
65.71034238025771,1904.0,16.0,II,Type II
34.99096721991008,2388.0,16.5,IIn,Type II
55.720574611252125,3758.0,17.4,II,Type II
39.49247397718045,6044.0,17.2,II,Type II
59.98620796774008,960.0,15.8,IIPec,Type II
58.268592814092635,1478.0,13.0,IIPec,Type II
8.421157259331892,4103.0,16.3,II,Type II
55.51007800089593,6132.0,18.0,IIb,Type II
48.69184297173702,19187.0,18.0,IIPec,Type II
13.969253720535896,5794.0,17.5,II,Type II
43.73517051002977,4817.0,17.8,II,Type II
18.68113573318441,592.0,13.5,IIP,Type II
86.4123232343904,616.0,17.4,IIn,Type II
69.35465089325464,4866.0,17.1,II,Type II
42.745692634791524,4248.0,17.0,II,Type II
75.65383824205261,203.0,16.0,II,Type II
57.22834100058447,7210.0,17.9,II,Type II
56.614575554138554,1571.0,15.0,IIP,Type II
36.256206046392776,2518.0,15.9,II,Type II
52.077888281193346,2673.0,16.9,II,Type II
59.277283060490255,8250.0,18.0,II,Type II
31.657699974081073,4099.0,16.2,II:,Type II
51.15213954262262,6725.0,18.0,II,Type II
45.62166881601614,1082.0,18.2,II,Type II
39.87287574407387,3092.0,17.3,II,Type II
68.66186216613725,5025.0,16.9,II,Type II
50.07609659236115,4342.0,15.5,IIn,Type II
65.06070463124848,4716.0,15.2,IIn,Type II
69.41396660947987,2087.0,16.0,II,Type II
98.77037383293336,2963.0,16.8,II,Type II
40.640596767224885,14090.0,17.4,II,Type II
79.73915787792347,7392.0,16.5,II,Type II
40.47098583276795,7392.0,16.5,II,Type II
74.98870518815617,4155.0,15.5,II,Type II
21.820154292081593,6703.0,17.5,II,Type II
26.271606371365028,4754.0,18.5,II,Type II
41.2495877602009,4900.0,18.4,II,Type II
61.170795636093004,10218.0,18.5,II,Type II
58.10536199729693,700.0,15.2,II,Type II
6.055443295700506,4155.0,15.5,II,Type II
54.92883119841036,1586.0,16.0,II,Type II
60.18883115819125,7339.0,17.4,IIn,Type II
63.96988309439013,10553.0,18.4,II,Type II
42.92820093684112,6910.0,18.9,II,Type II
57.26329447588113,3257.0,17.0,II,Type II
57.258351771121596,5198.0,17.1,II,Type II
61.41218913684042,3870.0,15.9,II,Type II
49.42891292878517,8830.0,18.6,II,Type II
58.74699327741602,4092.0,17.5,II,Type II
40.65964939544408,10793.0,17.5,II,Type II
60.89745936521369,9233.0,18.0,II,Type II
53.984806048205684,1697.0,17.0,II,Type II
67.97723025900008,5179.0,16.8,II,Type II
22.315529244207212,915.0,12.9,IIn,Type II
29.27879707478602,4030.0,18.5,II,Type II
36.81405042284154,8056.0,17.0,II,Type II
60.73669904677704,1206.0,12.8,II,Type II
50.53277375549841,14310.0,18.4,IIP,Type II
76.19809454965036,1014.0,16.4,II,Type II
45.689078297954374,915.0,12.9,IIn,Type II
74.57917039992054,592.0,13.5,II:,Type II
37.679632380597035,3522.0,16.7,II,Type II
40.86808008533453,864.0,15.0,IIP,Type II
31.690852002314163,1981.0,14.0,II,Type II
39.780424855017415,11842.0,17.3,II,Type II
88.20542000218225,6537.0,18.7,IIb,Type II
21.985663272292776,1075.0,13.5,IIP,Type II
33.349702501483335,4213.0,16.8,II,Type II
60.24360030461897,10203.0,18.5,II,Type II
18.57414943230065,4421.0,17.0,II,Type II
65.57828832429762,518.0,13.1,IIP,Type II
44.349354729038225,5761.0,18.0,IIPec,Type II
30.568716904781834,8067.0,17.5,II,Type II
62.04802013704071,2777.0,16.5,IIPec:,Type II
51.25607772112394,5425.0,18.0,II:,Type II
58.049437415560924,1156.0,14.7,II,Type II
81.41956455448035,1174.0,16.8,II,Type II
21.28100918637628,717.0,13.8,IIP,Type II
73.16830451921555,700.0,15.2,II,Type II
76.60206702583976,6595.0,18.7,II,Type II
50.461313263843536,1571.0,11.6,IIL,Type II
55.394942307954224,5425.0,15.5,II,Type II
91.91921430272589,5280.0,17.9,II,Type II
47.99654891475935,1478.0,13.0,IIPec,Type II
61.35481246036534,616.0,17.4,IIn,Type II
37.27016466533722,2094.0,16.0,II,Type II
58.396668589167284,517.0,14.8,IIn,Type II
52.15900232222955,48.0,12.2,II,Type II
30.163168020220088,1149.0,12.6,IIL,Type II
9.550087978031605,1566.0,14.0,II,Type II
22.61788702282437,131.0,11.3,IIP,Type II
45.92308599055761,1292.0,14.9,IIL,Type II
89.0726739490333,5179.0,16.8,II,Type II
34.28319722447645,6437.0,17.5,II,Type II
56.181587121203826,1524.0,14.2,II,Type II
49.68379337300911,5430.0,18.1,II,Type II
58.557368214422155,475.0,16.0,IIPec,Type II
45.83378577554863,1238.0,15.2,IIL,Type II
69.17441429283299,8856.0,17.0,IIn,Type II
48.78586685052466,9100.0,17.0,II,Type II
106.23710169035002,4754.0,18.5,II,Type II
85.73163434460199,4314.0,19.0,II,Type II
53.25141084599459,10622.0,18.8,II,Type II
58.70129181800396,1082.0,18.2,II,Type II
48.26140388563323,1292.0,14.9,IIL,Type II
62.63579412576276,8946.0,19.3,II,Type II
40.65761897275797,3452.0,18.0,II,Type II
63.49917516467225,3124.0,15.8,II:,Type II
67.17690781793696,2905.0,16.8,II,Type II
63.75591760219701,1156.0,17.0,IIPec,Type II
44.70225518837781,2378.0,14.8,IIL,Type II
46.178416545234455,4103.0,16.3,II,Type II
76.74797447981678,241.0,17.5,II:,Type II
48.232029589713086,4939.0,17.7,II,Type II
13.232655846864048,1406.0,14.8,IIP,Type II
80.08634198599702,6157.0,18.0,II,Type II
70.0741166988381,1718.0,15.7,II:,Type II
21.723656222363026,1480.0,14.5,II,Type II
-1.113896006506721,3277.0,17.3,II,Type II
100.36898522092082,5281.0,17.7,IIPec,Type II
61.91576264362936,3037.0,16.5,II,Type II
60.610993169448236,7271.0,17.5,II,Type II
25.730375645048653,4122.0,17.7,II,Type II
53.5794556611838,2553.0,15.5,II,Type II
52.380046662936664,7923.0,18.7,II,Type II
60.70856145623266,3254.0,16.8,II,Type II
68.03340373863858,203.0,16.0,II,Type II
67.51403753645437,1164.0,14.4,II,Type II
83.60302941886603,7657.0,18.0,II,Type II
36.72834267647758,3037.0,16.5,II,Type II
79.1749961017693,7483.0,18.4,II,Type II
75.47838057920944,4716.0,15.2,IIn,Type II
44.22524714169179,2562.0,15.9,IIn,Type II
60.19783618292495,3128.0,18.2,II,Type II
54.912491456035205,3730.0,15.3,II,Type II
43.53312372711659,5225.0,16.1,II,Type II
33.7823316086095,7558.0,17.6,IIn,Type II
58.7111289489362,7937.0,17.1,II,Type II
27.622886519873088,4093.0,18.5,II,Type II
40.15835585316851,8818.0,17.6,II,Type II
69.15000608947253,875.0,13.0,IIL,Type II
42.16324183213696,1275.0,17.2,IIPec,Type II
22.384033497125323,2905.0,16.8,II,Type II
54.87020939179479,2378.0,14.8,IIL,Type II
48.866600007983976,774.0,15.0,II,Type II
49.589358932966,5704.0,17.2,II,Type II
54.52816162383196,930.0,14.4,II,Type II
70.60407969404669,1275.0,17.2,IIPec,Type II
60.948197179236566,816.0,13.4,IIL,Type II
63.83683388283734,5578.0,17.4,II,Type II
54.44629899999337,592.0,13.5,IIP,Type II
53.11286005794276,3119.0,17.0,II,Type II
41.328513944254375,8883.0,16.3,II,Type II
32.39505156222471,517.0,14.8,IIn,Type II
28.39912699393805,2626.0,15.7,II,Type II
46.06676817497607,1583.0,16.8,II,Type II
35.76006119536733,7554.0,18.0,II,Type II
59.74379954845284,4963.0,17.2,IIn,Type II
45.689095859068615,48.0,11.6,IIL,Type II
73.07583603357452,6528.0,18.9,II,Type II
64.80425602095481,8281.0,17.5,II,Type II
41.475985283434774,852.0,15.7,II,Type II
65.7130223735836,6939.0,18.8,II,Type II
21.43156995065331,1584.0,14.0,II,Type II
52.712587285305524,757.0,15.7,IIP,Type II
39.065604515944045,1481.0,16.9,II,Type II
58.42598105819564,3320.0,17.1,IIb,Type II
74.64767237395074,1636.0,14.1,II,Type II
75.7032292742792,8288.0,18.0,II,Type II
63.09738362421529,2940.0,17.5,II,Type II
6.593659907751054,2723.0,15.9,II,Type II
45.006996009011786,10553.0,18.4,II,Type II
38.01940232330739,4314.0,19.0,II,Type II
93.06849380822737,3582.0,17.3,II,Type II
31.054212087913417,2009.0,16.0,II,Type II
47.64413500054734,1571.0,11.6,IIL,Type II
85.6562088886685,4835.0,17.8,II,Type II
61.567889135237294,1586.0,17.2,II,Type II
90.8608036191244,2940.0,17.5,II,Type II
36.71626588893322,15289.0,18.0,IIPec,Type II
21.60005908612082,1449.0,15.6,II,Type II
44.04265345866923,1419.0,15.2,II,Type II
37.688025495184974,13491.0,18.4,II,Type II
54.53575652627584,2115.0,14.6,II:,Type II
22.37304571375084,2940.0,17.5,II,Type II
44.00081704382187,4092.0,17.5,II,Type II
74.66551487007291,1424.0,14.5,IIn,Type II
41.90739155532877,2887.0,16.6,IIn,Type II
58.365635940472686,7539.0,16.1,II:,Type II
59.50093219208571,3256.0,15.5,II,Type II
22.80302305771926,6100.0,18.3,II,Type II
34.26260392546884,11092.0,20.0,II,Type II
58.13031236860144,6132.0,17.8,II,Type II
61.19771805076036,2518.0,15.9,II,Type II
33.840138028361615,1636.0,14.1,II,Type II
65.47296845246416,1406.0,15.1,II,Type II
56.48078184508684,1406.0,15.1,II,Type II
85.07792638143837,4093.0,18.5,II,Type II
42.06861873401329,2556.0,15.0,IIn,Type II
53.77325002402081,12702.0,18.5,II,Type II
43.35429279015007,4418.0,17.7,IIn,Type II
45.85076698350978,1906.0,17.0,II,Type II
44.827713495414784,4941.0,16.9,II,Type II
30.07870453178991,9091.0,17.5,II,Type II
6.844007616595846,7210.0,17.9,II,Type II
98.51676249521734,1843.0,14.5,II,Type II
43.3806405370947,7195.0,17.2,II,Type II
42.39523961805583,1075.0,13.5,IIP,Type II
48.59337572680895,960.0,15.8,IIPec,Type II
32.48978625130262,1543.0,15.9,IIb:,Type II
54.508193282557585,-169.0,11.0,II:,Type II
25.685388150275834,3254.0,16.8,II,Type II
62.732639087420125,7885.0,16.8,II,Type II
54.10054662046374,8898.0,17.8,IIn,Type II
48.206529525436274,3257.0,17.0,II,Type II
62.54275358054371,8898.0,17.8,IIn,Type II
18.52928801294206,592.0,14.6,II,Type II
46.889212469523216,5231.0,17.7,II,Type II
85.90655979287747,9723.0,18.1,IIn,Type II
90.70520629174995,2145.0,18.3,IIP,Type II
29.729914954237145,5144.0,16.2,IIP,Type II
56.26397634208902,7615.0,17.0,II,Type II
38.40267121929267,2702.0,16.9,II,Type II
81.52867132867001,4314.0,19.0,II,Type II
39.867634420681085,1149.0,12.6,IIL,Type II
52.49699058321491,3105.0,16.2,II:,Type II
36.4478710123654,3037.0,16.5,II,Type II
50.38330334558113,8288.0,18.0,II,Type II
18.11905909680562,10553.0,18.4,II,Type II
56.79129340809225,7740.0,16.0,IIn,Type II
38.43179366856061,10330.0,17.4,II,Type II
71.12239526594863,2940.0,17.5,II,Type II
56.333044744262814,1406.0,14.8,IIP,Type II
30.190753397941766,6939.0,18.8,II,Type II
64.90994114279393,2558.0,14.4,IIn,Type II
96.0974171765782,8281.0,17.5,II,Type II
62.28726720949572,2399.0,16.5,II,Type II
48.50962982796529,9967.0,18.6,II,Type II
66.08830603640837,7270.0,17.0,IIPec,Type II
73.63922333084258,809.0,14.0,IIL,Type II
43.92236818122675,5696.0,17.7,II,Type II
41.937712396785535,8979.0,18.1,II,Type II
38.93050887940734,942.0,13.0,IIb,Type II
66.76536094096974,7558.0,17.6,IIn,Type II
81.56115002922446,6743.0,17.8,II,Type II
43.60708635986032,5413.0,16.7,II,Type II
63.439254008159025,727.0,17.1,IIn,Type II
63.68472684716929,2098.0,12.8,II,Type II
6.849087194371535,5662.0,16.0,II,Type II
39.66093309439978,5239.0,17.8,IInPec,Type II
14.643400122224435,1534.0,18.0,IIn:,Type II
38.84029957367085,1174.0,16.8,II,Type II
50.7935204036468,4939.0,17.7,II,Type II
52.870229908683136,2085.0,17.7,II,Type II
35.33604357164026,774.0,16.1,II,Type II
66.01460183551895,1149.0,12.6,IIL,Type II
33.24858417734409,3124.0,15.8,II:,Type II
65.58176258974665,1753.0,16.5,II,Type II
38.62555968212756,-34.0,10.8,IIb,Type II
53.525425134081765,2410.0,16.3,II,Type II
67.36350635293633,1481.0,16.0,II,Type II
55.96939142178536,1481.0,16.9,II,Type II
41.47341374786761,2643.0,13.0,II,Type II
22.27087403023257,5310.0,16.8,II,Type II
65.80835519904421,8450.0,18.4,II,Type II
34.22485675490303,1543.0,15.9,IIb:,Type II
48.02685020614156,4342.0,15.5,IIn,Type II
8.08684064129799,4388.0,16.2,IIn,Type II
24.4875530861626,1275.0,15.5,II:,Type II
73.3127474414508,2643.0,13.0,II,Type II
56.821847241670845,7339.0,17.4,IIn,Type II
30.244680180336868,4439.0,16.4,IIPec,Type II
30.726572218204286,4591.0,16.5,II,Type II
46.59561300555613,2643.0,13.0,II,Type II
60.86616811024457,1164.0,14.4,II,Type II
54.79486981693156,7088.0,16.5,II,Type II
56.07978172966437,4787.0,17.0,II,Type II
68.60691608076114,5578.0,17.4,II,Type II
25.40560863832945,4059.0,18.0,II,Type II
73.1901321302277,6157.0,18.0,II,Type II
74.79854614734842,8290.0,18.1,II,Type II
18.366319039448612,2410.0,16.3,II,Type II
