Gi,GVhel,mag,Type,Type I Label
40.0,12307.0,18.0,Ia,Type I
34.0,7964.0,17.7,Ia,Type I
56.0,15687.0,18.0,Ia,Type I
56.0,15687.0,18.0,Ia,Type I
27.0,4078.0,17.0,I,Type I
17.0,1663.0,17.0,IPec,Type I
38.0,4175.0,18.0,Ia:,Type I
84.0,10193.0,18.0,Ia,Type I
53.0,17988.0,19.5,Ia,Type I
34.0,4778.0,18.2,Ic,Type I
71.0,4059.0,18.0,Ia:,Type I
34.0,1110.0,13.7,Ib/c,Type I
68.0,6688.0,17.9,Ic,Type I
32.82786488627356,7616.0,18.5,I,Type I
65.69931383379671,7080.0,15.9,Ia,Type I
15.781841981916713,5938.0,17.8,Ib,Type I
21.66953611324358,16118.0,18.6,Ia,Type I
47.503462781042806,4480.0,16.6,Ib,Type I
50.15080910887491,10493.0,18.0,Ia,Type I
69.89415398934788,5805.0,16.8,Ia,Type I
68.15010536840259,5257.0,16.6,IaPec,Type I
75.09879184246127,4071.0,15.8,Ia,Type I
59.320806058447396,9022.0,16.5,Ia,Type I
60.220158380056034,5257.0,16.6,IaPec,Type I
30.57778343132734,10408.0,16.4,Ia,Type I
53.51067227874612,241.0,14.0,I,Type I
48.6606851467295,4388.0,14.9,Ia,Type I
76.39696258160188,1164.0,12.7,Ia,Type I
50.968083602211514,5444.0,17.8,Ib,Type I
42.05065828085615,11754.0,17.2,Ia,Type I
59.88237270084592,404.0,8.4,Ia,Type I
62.46190173328655,3813.0,17.0,Ia,Type I
60.193388591008315,5654.0,15.5,Ia,Type I
44.31278442450211,4579.0,15.0,I,Type I
46.07670813574271,1087.0,16.5,Ib/c,Type I
64.081770623582,4887.0,15.2,Ia,Type I
75.8200442630617,48.0,13.2,I:,Type I
38.835708472238665,3489.0,17.5,Ib,Type I
37.37822913092781,954.0,13.3,Ia,Type I
67.00170802137833,7573.0,18.0,Ia,Type I
62.962518089838355,5902.0,16.4,Ia,Type I
57.47254394020055,547.0,12.5,Ia,Type I
54.72627101837256,2548.0,13.6,Ic,Type I
69.05704492867162,6747.0,16.8,I:,Type I
54.04326242881278,321.0,8.5,Ia,Type I
53.77425472141134,2548.0,13.6,Ic,Type I
58.83250980167577,2204.0,14.2,Ia,Type I
20.970566594180266,404.0,8.0,I,Type I
47.60282254352017,5197.0,17.4,Ia,Type I
41.228522680868764,1552.0,14.1,Ic:,Type I
49.221562359127304,2381.0,15.9,Ic,Type I
34.4670347357263,9422.0,18.0,Ia,Type I
72.49596970038708,809.0,13.6,Ib,Type I
45.16167211713247,592.0,11.0,I,Type I
50.28871705726742,14397.0,17.4,Ia,Type I
60.921793660122304,14397.0,17.4,Ia,Type I
66.69827143569972,2711.0,12.4,Ia,Type I
41.06975423887098,9686.0,16.8,Ia,Type I
69.602540881304,5989.0,17.1,Ia,Type I
28.533811021512687,3689.0,15.5,Ia,Type I
30.024101557574,5915.0,15.9,Ia,Type I
61.419065996089664,8102.0,17.5,Ic,Type I
55.61262154480522,6388.0,17.3,IaPec,Type I
46.71305978442354,3192.0,17.1,Ib,Type I
58.78478910434413,2678.0,17.5,Ic,Type I
49.14167468220039,4059.0,18.0,Ia:,Type I
62.655535940608985,5197.0,17.4,Ia,Type I
44.87252209614306,8750.0,18.2,Ia,Type I
45.32507890416625,6798.0,17.5,Ib,Type I
61.18030878752733,4612.0,14.5,Ia,Type I
47.73617091433178,1953.0,18.2,Ia,Type I
60.69678537077732,6295.0,15.5,I,Type I
60.379950036381615,6408.0,16.0,Ia,Type I
52.91713457532244,5436.0,18.8,Ia,Type I
46.14735083158009,5379.0,18.2,Ia,Type I
19.532192943471607,4507.0,15.0,Ia,Type I
23.762089056319116,6870.0,16.5,Ia,Type I
31.348470307045226,10328.0,18.1,Ia,Type I
58.66756914757678,10003.0,18.1,Ia,Type I
43.26377815833925,9620.0,17.4,Ia,Type I
77.88366757070668,1164.0,12.7,Ia,Type I
65.42880276934697,6989.0,15.8,I,Type I
31.462928118206612,404.0,8.4,Ia,Type I
35.21659475912999,1406.0,14.0,Ia,Type I
44.8915518620621,7120.0,16.3,Ia,Type I
18.991788773379305,1109.0,12.4,Ia,Type I
57.57162692983611,11733.0,17.5,Ia,Type I
40.64446667209015,4264.0,14.7,Ia,Type I
23.24239916207709,6906.0,15.9,Ia,Type I
42.07833460890405,4488.0,15.1,I,Type I
58.89823859568048,5096.0,18.0,Ia:,Type I
79.55097763284064,10859.0,16.0,Ia,Type I
47.8459421609336,2281.0,13.4,Ia,Type I
56.94710249402082,-261.0,12.4,Ia,Type I
44.03839725741316,26682.0,19.2,Ia,Type I
69.50442509417765,5158.0,16.8,Ia,Type I
59.60166920700657,3901.0,15.0,Ia,Type I
25.831195783118364,11754.0,17.2,Ia,Type I
39.65365410157813,6303.0,16.3,Ia,Type I
42.04476952034375,11700.0,18.0,Ia,Type I
24.77301790728974,6295.0,15.6,I,Type I
51.3668979739334,2255.0,17.1,Ic,Type I
23.679221116707136,7651.0,17.6,Ia,Type I
57.55085471945291,4980.0,14.5,Ia,Type I
70.69605897124192,1939.0,15.4,Ic:,Type I
109.7552228409318,3689.0,15.5,Ia,Type I
61.33917037110555,2215.0,14.3,Ia,Type I
10.983284181707859,4998.0,15.5,Ia,Type I
46.840531681113504,23264.0,18.5,Ia:,Type I
47.82249564487428,1861.0,17.0,I,Type I
41.4414112156704,4694.0,16.4,Ia,Type I
71.68130796892464,8094.0,16.6,Ia,Type I
57.68318710334311,4513.0,17.8,Ia,Type I
32.56316369461044,2895.0,14.1,Ia,Type I
21.552783054064214,993.0,14.1,Ib/c,Type I
50.98744936859589,4211.0,14.5,Ia,Type I
90.87191508217917,1573.0,17.6,Ib,Type I
72.93244827777039,3904.0,16.4,Ia,Type I
43.292027888208295,547.0,12.5,Ia,Type I
34.902880068290735,4982.0,17.0,Ib/c,Type I
30.721120375267503,18353.0,18.0,Ia:,Type I
37.76547950477513,1330.0,14.0,Ia,Type I
70.1885436449061,48.0,13.2,I:,Type I
71.01033674869824,5897.0,17.0,Ia,Type I
56.86530628471422,10793.0,17.0,Ia,Type I
50.14397816315612,7615.0,16.1,Ia,Type I
39.43940902186759,7024.0,17.0,Ia,Type I
43.969416876424106,6591.0,17.4,Ib/c,Type I
29.115687308891783,3280.0,14.7,Ia,Type I
49.15435273904245,13388.0,15.0,I,Type I
81.30724588723652,10193.0,18.0,Ia,Type I
51.176383614301876,3161.0,15.3,Ia,Type I
58.54430603392216,1686.0,13.5,I,Type I
57.63527580284836,4828.0,16.6,Ia,Type I
44.443190454759495,9244.0,19.2,Ia,Type I
58.33584753264645,9108.0,16.3,Ia,Type I
84.567538507654,2761.0,16.5,Ia,Type I
26.506322011618902,8803.0,16.3,Ia:,Type I
28.177747186772788,5608.0,18.8,Ic,Type I
85.53093054324147,3503.0,14.0,Ia,Type I
49.07625080213414,6795.0,17.3,Ib/c,Type I
72.10819099968475,20686.0,18.8,Ia,Type I
31.85246408472667,5158.0,16.8,Ia,Type I
66.22326856844592,3491.0,15.9,Ic:,Type I
45.725193160504354,2000.0,14.2,Ia,Type I
52.086707978141504,2716.0,17.0,Ia,Type I
58.26764354808127,6408.0,16.0,Ia,Type I
55.90710385454314,5777.0,18.3,Ia,Type I
57.264671568152366,18353.0,18.0,Ia:,Type I
44.863959517598786,13388.0,15.0,I,Type I
36.209101664826235,6795.0,17.3,Ib/c,Type I
35.35204034433653,3733.0,14.5,IaPec,Type I
44.99816067439315,6986.0,16.2,Ia,Type I
26.033382208460274,5783.0,15.5,Ia,Type I
50.6051501586806,11135.0,18.0,Ia,Type I
64.46673180911573,3192.0,17.1,Ib,Type I
44.50037257002555,4841.0,17.2,Ia,Type I
69.85011216383568,9639.0,17.2,Ia,Type I
51.111634559494675,24013.0,18.0,Ia,Type I
44.754018053810114,12483.0,16.5,Ia,Type I
39.52495474706467,2258.0,14.0,Ia,Type I
59.95652794600953,2716.0,17.0,Ia,Type I
55.17089385065985,5783.0,15.5,Ia,Type I
50.14970820130476,12892.0,17.6,Ia,Type I
58.219532365621504,5086.0,17.3,Ia,Type I
87.73967830440887,7627.0,16.6,Ia,Type I
30.291477524308487,15521.0,18.0,Ia,Type I
25.17178530400255,1532.0,14.0,Ib,Type I
42.400404310958635,4534.0,16.9,Ia,Type I
74.21818192910104,8217.0,16.5,Ia,Type I
37.70178026430892,8853.0,18.2,Ib,Type I
6.990426731792297,11992.0,17.1,Ia,Type I
46.30625052692056,10832.0,17.1,Ia,Type I
42.11242402646731,3733.0,14.5,IaPec,Type I
32.999575464908645,11152.0,18.0,Ia,Type I
21.039966014831258,2080.0,16.3,Ia,Type I
18.64758952335497,14577.0,17.5,I,Type I
29.04837081559551,3729.0,16.4,IbPec,Type I
31.468761117595363,5962.0,16.8,Ia,Type I
104.71499926039965,12892.0,17.6,Ia,Type I
29.8514531684888,3001.0,14.1,Ia,Type I
62.030181099617,2741.0,17.2,Ib,Type I
87.39464872526077,5322.0,17.6,Ib,Type I
46.35837377472038,6540.0,15.4,Ia,Type I
68.44526287777981,2000.0,14.2,Ia,Type I
44.911620575779565,897.0,11.9,Ia,Type I
50.28172327459273,3280.0,14.7,Ia,Type I
44.53220140998023,11733.0,17.5,Ia,Type I
49.069216601362754,1052.0,14.4,Ia,Type I
42.31673447049096,4059.0,15.6,Ia,Type I
62.42753165056923,5079.0,16.7,Ia,Type I
55.14682139608157,7024.0,17.0,Ia,Type I
61.01829744212231,1691.0,14.9,Ib,Type I
46.714372748079725,15687.0,18.0,Ia,Type I
40.32010608446799,4377.0,17.3,IaPec,Type I
50.65715051711988,4567.0,15.4,Ia,Type I
92.4207719943536,5654.0,15.5,Ia,Type I
60.64149735869553,6197.0,17.5,Ia,Type I
26.857356639658242,23264.0,18.5,Ia:,Type I
56.41688503538529,7627.0,16.6,Ia,Type I
33.228382199064356,2761.0,16.5,Ia,Type I
58.43649442307045,3582.0,15.5,I,Type I
63.292185534367775,2579.0,15.4,Ia,Type I
69.75704323358593,7043.0,16.6,Ia,Type I
65.05064378316864,1947.0,17.5,Ib,Type I
42.28233767397905,9186.0,18.0,Ib/c,Type I
61.87539693756016,1818.0,18.0,I:,Type I
46.82202420954319,2281.0,13.4,Ia,Type I
51.154923271186256,6197.0,17.5,Ia,Type I
55.645210926779406,3422.0,14.6,Ia,Type I
81.07054747426865,4567.0,15.4,Ia,Type I
49.39206385046969,2579.0,15.4,Ia,Type I
58.5455358134701,3489.0,17.5,Ib,Type I
44.8713098941794,9224.0,18.8,Ic:,Type I
15.919985216944859,8936.0,16.1,Ia,Type I
86.36367882963677,3280.0,14.7,Ia,Type I
22.449723479034937,3168.0,13.8,IaPec?,Type I
47.939704604205396,4377.0,17.3,IaPec,Type I
50.463189041731354,8989.0,18.1,Ic:,Type I
47.75772579724211,2696.0,15.8,Ia,Type I
78.82925131156794,5556.0,17.5,IaPec,Type I
85.79112917198668,4794.0,15.2,IaPec,Type I
75.17076115798517,4841.0,15.4,I,Type I
87.98620308281684,2194.0,15.3,Ia,Type I
60.264862450144946,5774.0,15.5,Ia,Type I
46.865155954058295,2222.0,13.5,Ia,Type I
55.14234991051093,4534.0,16.9,Ia,Type I
73.73850187386806,1556.0,15.2,Ib:,Type I
26.86510179754861,321.0,8.5,Ia,Type I
47.25965726080158,6403.0,15.1,Ic,Type I
70.7536107575373,13491.0,17.7,Ia,Type I
87.4167917659753,7042.0,17.0,Ia,Type I
67.67237388629817,7023.0,18.6,Ia,Type I
51.28167414600133,2625.0,13.8,Ia,Type I
29.547311419779472,4473.0,15.0,I,Type I
84.01254036248385,4053.0,17.5,Ib,Type I
64.55839133968061,4333.0,14.8,Ia,Type I
35.48626789087294,4059.0,18.0,Ia:,Type I
52.0194324643653,6758.0,15.9,Ic,Type I
42.335954284603645,1407.0,16.0,Ib/c,Type I
57.69242124984439,7109.0,16.5,Ia,Type I
65.16403625374288,954.0,13.3,Ia,Type I
8.172002414895786,7573.0,18.0,Ia,Type I
54.157268415680896,2848.0,14.2,IaPec,Type I
60.60362896944605,2625.0,13.8,Ia,Type I
13.992003973653823,1741.0,14.7,Ia,Type I
40.755479208347055,4547.0,15.0,Ia,Type I
22.81453280855722,3161.0,15.3,Ia,Type I
81.6362279097267,1541.0,13.4,Ia,Type I
64.83255031142926,13922.0,18.5,Ib/c,Type I
44.59347856860421,3928.0,18.5,Ia,Type I
74.1382670307656,2169.0,14.4,Ia,Type I
56.722100775651654,4794.0,15.2,IaPec,Type I
57.80528807831238,3001.0,14.1,Ia,Type I
36.92142958483928,5865.0,17.8,Ia,Type I
50.30855036842478,5462.0,17.0,Ic,Type I
55.18210053839594,12483.0,16.5,Ia,Type I
33.08443019287233,5938.0,17.8,Ib,Type I
49.84512227917325,4473.0,15.0,I,Type I
38.06308300987111,1109.0,12.4,Ia,Type I
29.97761303756792,17138.0,18.3,Ia,Type I
71.72508167468288,4588.0,18.7,Ib,Type I
49.44148298428764,404.0,8.0,I,Type I
63.69910042020166,14577.0,17.5,I,Type I
63.03282689248907,15687.0,18.0,Ia,Type I
97.93177216313522,657.0,12.4,IcPec,Type I
49.04508400787249,1541.0,13.4,Ia,Type I
83.65768555708047,6795.0,17.3,Ib/c,Type I
43.68326192533795,6795.0,17.3,Ib/c,Type I
77.51437195477777,6679.0,16.7,Ia,Type I
23.451751805855157,4921.0,18.0,Ib,Type I
19.471038129442228,9613.0,17.3,Ia,Type I
39.275774035870306,566.0,14.5,I,Type I
64.67649159573627,4921.0,18.0,Ib,Type I
56.86931446045032,4806.0,14.4,Ia,Type I
7.341321626940392,6679.0,16.7,Ia,Type I
48.79045501383546,10727.0,15.0,Ia,Type I
61.149955297640844,4507.0,15.0,Ia,Type I
58.19562964470532,17911.0,17.4,Ia,Type I
39.18886744302547,4211.0,14.5,Ia,Type I
55.82815749919778,6688.0,17.9,Ic,Type I
56.79667685413305,1519.0,12.6,Ia,Type I
62.47709687876997,4330.0,14.8,IaPec,Type I
49.39074119586859,6595.0,17.5,Ia,Type I
55.23846867543712,9186.0,18.0,Ib/c,Type I
44.529726195985084,4264.0,14.7,Ia,Type I
63.601660977821055,1476.0,13.9,Ia,Type I
48.67559940277273,7469.0,16.0,Ia,Type I
67.95966366996298,5012.0,15.0,Ia,Type I
28.12326276438104,1926.0,14.0,Ia,Type I
21.26434509556131,11152.0,18.0,Ia,Type I
36.55919785588857,321.0,8.5,Ia,Type I
65.89893107303605,8669.0,17.5,Ia,Type I
59.284632198461374,1856.0,16.5,Ib,Type I
75.59581775056681,1422.0,15.0,I,Type I
51.91719314080335,1926.0,14.0,Ia,Type I
75.85623480069297,10500.0,17.0,Ia,Type I
36.18955613962147,6978.0,17.3,Ia,Type I
41.94809922967726,-261.0,12.4,Ia,Type I
34.90797331501304,4197.0,14.6,Ia,Type I
42.61130243301923,10350.0,16.8,Ia,Type I
89.6009471322819,1947.0,17.5,Ib,Type I
25.464088163863703,5549.0,15.9,Ia,Type I
32.36266808500828,5169.0,15.9,Ia,Type I
62.459957632295676,626.0,12.9,Ia,Type I
14.900923636891847,9067.0,16.7,Ia,Type I
69.7734133558048,4797.0,14.7,I,Type I
43.582478491133,48.0,13.2,I:,Type I
32.89541442265089,4480.0,16.6,I,Type I
61.009885660913675,1966.0,13.4,Ia,Type I
49.76731830811592,4990.0,16.8,Ia,Type I
60.0785147505922,5388.0,16.7,I,Type I
67.25373261660779,23264.0,18.5,Ia:,Type I
19.085400859588834,12528.0,16.5,Ib,Type I
61.36925848150712,24013.0,18.0,Ia,Type I
71.45733682321676,11950.0,18.5,Ia,Type I
64.1545143669851,1283.0,17.5,Ic:,Type I
61.88515140431097,3489.0,17.5,Ib,Type I
89.0132177212256,9509.0,18.0,Ia,Type I
54.70724611022352,954.0,13.3,Ia,Type I
56.12804918202847,1541.0,13.4,Ia,Type I
36.948107355734145,3582.0,15.5,I,Type I
61.00280349162808,2513.0,16.0,Ib,Type I
59.49724807378424,4078.0,16.0,Ia,Type I
36.25520144913387,729.0,12.0,I,Type I
12.657301412568167,5805.0,16.8,Ia,Type I
33.10270939206942,5166.0,18.5,Ib/cPec,Type I
47.50045955724588,2618.0,14.5,I,Type I
89.43451617379864,5012.0,15.0,Ia,Type I
33.71766071501439,6935.0,17.2,Ia,Type I
48.02017016757203,22594.0,17.5,Ia,Type I
46.13072699302728,7109.0,16.5,Ia,Type I
48.16186930364845,19000.0,18.3,Ia,Type I
47.56479838473653,-122.0,13.3,Ic,Type I
73.03424388822911,9244.0,19.2,Ia,Type I
53.62085521270319,1476.0,13.9,Ia,Type I
100.87474039822627,9613.0,17.3,Ia,Type I
