recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc,Type I Label
2617,2003fh, ,ANON,215.4,52.52666666666666,,74948.0, ,22.2,>,Ia,215.39954166666664,52.527138888888885,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
2619,2003fj, ,ANON,214.9375,52.53999999999999,,140902.0, ,22.2,>,Ia,214.93829166666663,52.54047222222221,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
2625,2003fp, ,ANON,215.2225,52.60499999999999,,134907.0, ,22.6,>,Ia,215.223375,52.60574999999999,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
2618,2003fi, ,ANON,214.665,52.61333333333332,,131909.0, ,22.4,>,Ia,214.6665,52.61225,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
2620,2003fk, ,ANON,214.9825,53.09833333333333,,104927.0, ,22.3,>,Ia,214.98266666666663,53.097472222222216,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
2624,2003fo, ,ANON,214.4925,53.48333333333333,,110923.0, ,22.4,>,Ia,214.4934583333333,53.48263888888888,"Astier, Pritchet, Canada-France-Hawaii Telescope (CFHT) Legacy Survey Supernova Project",Type I
548,1982W, ,N 5485,211.7975,55.00166666666666,44.0,2000.0,.LA..P,14.2,=,Ia,211.78775,55.0188611111111,Lovas,Type I
1525,1999cm, ,U 9766,227.815,61.12999999999999,72.0,13531.0,.SB.4.,17.1,>,Ia,227.82991666666663,61.119833333333325,"Puckett, Siegert",Type I
2579,2003du, ,U 9391,218.6525,59.33833333333333,46.0,1914.0,.SB.7.,13.4,>,Ia,218.64916666666664,59.33438888888888,"Schwartz, Holvorcem+",Type I
2715,2003jb, ,I 1065,222.34,63.26999999999999,38.0,12483.0,.LB...,16.5,>,Ia,222.3428333333333,63.26838888888888,Arbour,Type I
2446,2002lk, ,LEDA2503300,241.7325,55.47166666666666,,35975.0, ,18.1,>,Ia,241.733,55.47172222222221,European Supernova Cosmology Consortium,Type I
2502,2003au, ,N 6095,242.795,61.26833333333333,41.0,9244.0,.L..-.,19.2,>,Ia,242.79816666666665,61.266166666666656,"Schwartz, Li+",Type I
859,1992av, ,LEDA2706576,265.7625,67.81666666666666,,, ,20.0,>,Ia,265.7702083333333,67.81863888888888,Pollas,Type I
974,1995O, ,ANON,248.985,66.195,,52500.0, ,22.0,>,Ia:,248.9838375,66.19554444444444,"Le Borgne, Sanahuja, Maddox",Type I
2699,2003il, ,ANON,248.9475,66.22333333333333,,52463.0, ,23.0,>,Ia,248.94791666666663,66.22413888888887,"Gal-Yam, Maoz, Ofek, Poznanski, Sharon, Medezinski, Lipkin, Prada, Guhathakurta",Type I
1719,2000cf, ,M 11-19-25,238.2325,65.93499999999999,69.0,10793.0,.S..3.,17.0,>,Ia,238.234125,65.9368611111111,Puckett,Type I
2468,2003K, ,I 1129,233.0025,68.24666666666666,32.0,6540.0,.S..5.,15.4,>,Ia,233.0079583333333,68.24330555555555,"Puckett, Langoussis",Type I
2840,2004ax, ,N 5939,231.1925,68.72999999999999,60.0,6687.0,.S..4.,17.7,>,Ib/c,231.1948333333333,68.73230555555554,"Singer, Li+",Type I
1887,2001bs, ,U10018,235.915,67.75999999999999,27.0,8750.0,PSBS4.,18.2,>,Ia,235.9140833333333,67.75869444444443,"Beckmann, Li +",Type I
1652,2000Q, ,ANON,241.295,69.66333333333333,,5996.0, ,16.0,>,Ia,241.299375,69.66430555555554,Lick Observatory Supernova Search,Type I
2499,2003ar, ,M 12-15-47,240.53,70.41666666666666,,7559.0,.E....,16.8,>,Ia,240.53379166666664,70.41541666666666,Boles,Type I
1506,1999bt, ,ANON,257.91,72.41833333333332,,14960.0, ,17.0,>,Ia,257.90737499999994,72.42097222222222,Boles,Type I
1080,1996bk, ,N 5308,206.7525,60.97333333333332,90.0,2041.0,.L-E..,14.9,=,Ia,206.7415833333333,60.97024999999999,"Mazza, Pesci",Type I
2123,2001ku, ,ANON,204.9375,63.39333333333333,,40725.0, ,19.9,>,Ia,204.93654166666664,63.3936111111111,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))",Type I
2117,2001ko, ,LEDA2672199,212.7425,64.84833333333333,,42151.0, ,20.0,>,Ia,212.743,64.84747222222221,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))",Type I
766,1991O, ,LEDA2680352,216.16,65.75833333333333,,, ,18.0,>,Ia,216.16654166666663,65.76019444444444,Mueller,Type I
1512,1999bz, ,U 8959,210.455,68.87666666666665,50.0,25362.0,.S..9*,17.5,>,Ic,210.44479166666665,68.87958333333333,Lick Observatory Supernova Search,Type I
1210,1997ct, ,LEDA2736111,211.855,70.43499999999999,,8994.0, ,18.6,>,Ia,211.862,70.43497222222221,Mueller,Type I
2346,2002ho, ,N 4210,183.815,65.98499999999999,36.0,2732.0,.SBR3.,16.8,>,Ic,183.8249583333333,65.98194444444444,Boles,Type I
1519,1999cg, ,ANON,190.8225,76.23333333333332,,41971.0, ,, ,Ia,190.823125,76.23302777777776,Wise Observatory Optical Transients Search,Type I
1870,2001az, ,U 10483,248.62,76.02999999999999,67.0,12200.0,.S..5.,16.1,>,Ia,248.6154583333333,76.02966666666666,"Puckett, Peoples",Type I
1365,1998cl, ,MKN 261,202.5025,75.56499999999998,,9129.0, ,17.0,>,Ia,202.49916666666664,75.56916666666666,Schwartz,Type I
1051,1996ah, ,N 5640,215.205,80.10666666666665,,14206.0, ,18.0,>,Ia,215.1620833333333,80.12249999999999,Mueller,Type I
1612,1999fz, ,U 8164,195.575,78.54166666666666,57.0,6637.0,.SA.4.,15.2,>,Ia,195.5680833333333,78.54149999999998,"Puckett, Langoussis, George",Type I
1932,2001dl, ,U11725,320.25749999999994,9.176666666666666,73.0,6204.0,.S..7.,16.1,>,Ia,320.25720833333327,9.180666666666664,"Yu, Li +",Type I
2655,2003gt, ,N 6930,308.24499999999995,9.874999999999998,73.0,4694.0,.SB.2.,16.4,>,Ia,308.24633333333327,9.872027777777776,"Graham, Li+",Type I
2935,2004eo, ,N 6928,308.21,9.926666666666666,79.0,4707.0,.SB.2.,16.2,>,Ia,308.2257916666666,9.928527777777775,Itagaki,Type I
731,1990R, ,U11699,318.085,12.611666666666665,21.0,4812.0,.SB.6.,17.5,>,Ia,318.0870833333333,12.610277777777776,Mueller,Type I
1959,2001em, ,U11794,325.595,12.498333333333331,72.0,5844.0,.S..2.,18.6,>,Ib/c,325.5985833333333,12.49747222222222,"Papenkova, Li +",Type I
2746,2003kg, ,I 1427,330.8975,15.106666666666664,,7805.0,.E....,16.6,>,Ia,330.8943333333333,15.102944444444445,Armstrong,Type I
2241,2002dn, ,I 5145,328.595,15.156666666666665,60.0,7355.0,.S..2.,18.6,>,Ic:,328.593625,15.16172222222222,Li+,Type I
2599,2003ep, ,N 7053,320.2825,23.085,21.0,4708.0,.S?...,15.7,>,Ia,320.2805833333333,23.08494444444444,"Papenkova, Weisz, Li+",Type I
1428,1998ey, ,N 7080,322.50749999999994,26.71833333333333,17.0,4839.0,.SBR3.,16.8,>,Ic,322.50291666666664,26.722638888888884,Arbour,Type I
2649,2003gn, ,P69160,338.46,20.80333333333333,73.0,10328.0,.S..4.,18.1,>,Ia,338.46533333333326,20.802361111111107,"Graham, Weisz, Li+",Type I
2255,2002eb, ,C 473-011,334.7775,24.59833333333333,50.0,8255.0,.S..5.,17.6,>,Ia,334.7718333333333,24.594388888888886,"Beutler, Li+",Type I
1805,2000fo, ,P70148,344.6075,26.63833333333333,67.0,7152.0,.S..3.,16.5,>,Ia,344.6055833333333,26.64072222222222,Schwartz +,Type I
2245,2002dr, ,U12214,342.75499999999994,31.375,41.0,6610.0,.S..2.,17.0,>,Ia,342.7541666666666,31.373055555555556,"Hutchings, Li+",Type I
1549,1999do, ,MKN922,343.37249999999995,31.645,0.0,6576.0,.SB.5.,14.9,>,Ia,343.3744583333333,31.64525,Lick Observatory Supernova Search,Type I
2652,2003gq, ,N 7407,343.3375,32.12833333333333,64.0,6430.0,.S..4.,17.5,>,Ia,343.3362916666666,32.132666666666665,"Puckett, Langoussis; Graham, Weisz, Li+",Type I
2390,2002jg, ,N 7253B,334.87499999999994,29.38833333333333,73.0,4493.0,TS..7.,15.8,=,Ia,334.86999999999995,29.384583333333328,"Ganeshalingam, Li, Schwartz+",Type I
2239,2002dl, ,U11994,335.22,33.294999999999995,90.0,4872.0,.S..4.,17.7,>,IaPec,335.22483333333327,33.29269444444444,"Puckett, Langoussis",Type I
2052,2001ib, ,P68434,333.915,37.298333333333325,,5750.0,.E...*,15.3,>,Ia,333.91074999999995,37.29888888888888,Armstrong; Arbour,Type I
2357,2002hz, ,U12044,336.9525,38.58666666666666,74.0,5444.0,.S..2.,17.8,>,Ib,336.9564166666666,38.58597222222222,"Ganeshalingam, Li+",Type I
2067,2001iq, ,LEDA214831,336.295,42.71833333333333,,5576.0, ,16.6,>,Ia,336.29341666666664,42.71783333333333,Armstrong,Type I
861,1992ax, ,LEDA 167642,332.61249999999995,45.048333333333325,,, ,18.5,>,I,332.613125,45.042222222222215,Mueller,Type I
2869,2004ca, ,U11799,325.8975,43.69499999999999,43.0,5338.0,.SB.5.,18.0,>,Ia,325.8868333333333,43.6925,Li+,Type I
1925,2001de, ,U12089,338.57499999999993,50.41333333333333,70.0,9313.0,.S..4.,17.2,>,Ia,338.5752499999999,50.41519444444444,Armstrong,Type I
1940,2001dt, ,U12558,350.5799999999999,50.15833333333333,44.0,8945.0,.S..5.,18.2,>,Ia,350.579875,50.15702777777777,Li +,Type I
2242,2002do, ,M 07-41-1,299.05499999999995,40.43333333333333,,4761.0,.E.1..,15.4,>,Ia,299.05366666666663,40.43633333333333,Li+,Type I
2224,2002cw, ,N 6700,281.5175,32.279999999999994,47.0,4588.0,.SBT5.,18.7,>,Ib,281.50999999999993,32.28422222222222,"Papenkova, Li +",Type I
1886,2001br, ,U11260,277.605,34.10333333333333,48.0,6184.0,.SB.1.,16.0,>,Ia,277.6064583333333,34.10361111111111,Armstrong,Type I
1529,1999cq, ,U11268,278.03,37.61333333333333,66.0,7890.0,.S..4.,15.8,=,Ib/c:,278.0295833333333,37.61230555555555,Lick Observatory Supernova Search,Type I
2706,2003is, ,M 07-40-3,290.285,43.325,12.0,5482.0,.S..5.,18.0,>,Ic,290.2833333333333,43.3265,"Beutler, Li+",Type I
2918,2004dx, ,M 07-37-36,274.525,39.825,27.0,8989.0,.S..5.,18.1,>,Ic:,274.52562499999993,39.823583333333325,Boles,Type I
2220,2002cs, ,N 6702,281.73999999999995,45.70666666666666,,4728.0,.E...*,15.2,=,Ia,281.7498333333333,45.70547222222221,"Ganeshalingam, Li +; Armstrong",Type I
1402,1998dx, ,U11149,272.785,49.86333333333333,,14990.0, ,17.9,>,Ia,272.79954166666664,49.861305555555546,"Modjaz, Shefler, Halderson, King, Li, Treffers, Filippenko",Type I
2680,2003hs, ,U11149,272.79,49.865,54.0,14990.0,.S....,18.6,>,Ia,272.7955416666666,49.86913888888888,"Ganeshalingam, Li+",Type I
2205,2002cd, ,N 6916,305.88749999999993,58.34333333333333,51.0,3101.0,.SB.4.,16.4,>,Ia,305.8934166666666,58.34649999999999,Armstrong,Type I
35,1939C, ,N 6946,308.7175,60.15333333333332,30.0,48.0,.SBT5.,13.2,=,I:,308.5958333333333,60.1603611111111,Zwicky,Type I
2747,2003kh, ,U11491,298.08,58.978333333333325,78.0,7495.0,.SB.5.,17.5,>,Ia,298.0747083333333,58.98124999999999,Armstrong,Type I
2967,2004fu, ,N 6949,308.7775,64.80333333333333,36.0,2761.0,.S..5.,16.5,>,Ia,308.79824999999994,64.80725,Arbour,Type I
1640,2000E, ,N 6951,309.31249999999994,66.10666666666665,41.0,1424.0,.SBT4.,13.8,=,Ia,309.307375,66.09727777777776,"Valentini, Carlo, Guidubaldi, Brocato, Di Paola, D'Alessio, Spezial, Li Causi, Pedichini",Type I
698,1989P, ,N 6636,275.515,66.615,87.0,4393.0,DS..5.,16.5,>,Ia,275.50766666666664,66.60344444444443,"Mueller, Mendenhall",Type I
2682,2003hu, ,LEDA214719,287.88499999999993,77.89333333333332,,22484.0, ,18.0,>,Ia,287.88083333333327,77.8931111111111,Armstrong,Type I
807,1991bf, ,M-05-56-27,358.06749999999994,-29.44833333333333,80.0,9021.0,.S..0.,17.5,>,Ia,358.064,-29.44144444444444,McNaught,Type I
916,1993ah, ,E 471-G27,357.9599999999999,-27.965,78.0,8803.0,.L....,16.3,=,Ia:,357.95945833333326,-27.963055555555552,Wischnjewsky,Type I
944,1994X, ,ANON,3.835,-24.89333333333333,50.0,16668.0,.SB.5.,18.5,>,Ia,3.835916666666666,-24.897361111111103,McNaught,Type I
2065,2001io, ,ANON,11.472499999999998,-29.436666666666664,,56961.0, ,23.0,>,Ia,11.473499999999998,-29.436583333333328,Altavilla et al.,Type I
2644,2003gi, ,I 1561,9.634999999999998,-24.34,71.0,3899.0,.SB.3.,15.6,>,Ia,9.636124999999998,-24.342638888888885,Monard,Type I
1615,1999gc, ,LEDA134751,16.2975,-20.3,24.0,16189.0,.S..5.,17.5,>,Ia,16.295291666666664,-20.29669444444444,Antezana,Type I
1401,1998dw, ,P 4109,17.297499999999996,-15.496666666666664,52.0,14787.0,.S..5.,18.8,>,Ia,17.298166666666663,-15.496305555555551,Mount Stromlo Abell Cluster Supernova Search Team,Type I
1756,2000dr, ,I 1610,15.427499999999998,-15.568333333333332,40.0,5635.0,PLX.+*,16.2,>,Ia,15.4335,-15.569194444444442,Lick Observatory Supernova Search,Type I
1996,2001fx, ,I 5345,354.88249999999994,-22.41333333333333,46.0,8021.0,.S..4.,18.2,>,Ib,354.8863333333333,-22.41286111111111,LOTOSS,Type I
2653,2003gr, ,M-04-55-14,354.55499999999995,-20.781666666666663,61.0,7691.0,.SB.3.,16.3,>,Ia,354.5527916666666,-20.78222222222222,"Ganeshalingam, Li+",Type I
2896,2004db, ,N 7377,341.94749999999993,-22.311666666666664,,3339.0,.LB...,17.7,>,Ia,341.9828333333333,-22.32794444444444,"Park, Li+",Type I
2299,2002ft, ,ANON,348.93999999999994,-16.924999999999997,,22484.0, ,18.1,>,Ia,348.9409166666666,-16.926444444444442,"Wood-Vasey, Aldering, Nugent",Type I
2259,2002ef, ,N 7761,357.86999999999995,-13.381666666666664,27.0,7188.0,.LAT0.,16.2,>,Ia,357.8730833333333,-13.379555555555552,"Beutler, Li+",Type I
2690,2003ic, ,M-02-02-086,10.46,-9.303333333333333,44.0,16690.0,.L....,17.6,>,Ia,10.459291666666664,-9.305277777777777,"Singer, Beutler, Swift, Li+",Type I
2378,2002iu, ,ANON,3.39,-10.218333333333332,,32716.0, ,18.9,>,Ia,3.387916666666666,-10.219416666666666,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type I
2403,2002jt, ,ANON,3.4024999999999994,-10.14,,149896.0, ,22.6,>,Ia,3.402916666666666,-10.14,Challis  (ESSENCE project),Type I
1533,1999cw, ,M-01-2-1,4.999999999999999,-6.333333333333332,65.0,3709.0,.S..2.,14.3,>,Ia,5.006083333333333,-6.3343333333333325,Lick Observatory Supernova Search,Type I
2400,2002jq, ,ANON,353.99249999999995,-10.098333333333333,,149896.0, ,21.9,>,Ia,353.9915,-10.09911111111111,Challis  (ESSENCE project),Type I
2960,2004fn, ,ANON,352.5849999999999,-9.974999999999998,,179875.0, ,22.5,>,Ia,352.5838333333333,-9.975194444444442,ESSENCE project,Type I
2385,2002jb, ,ANON,352.43499999999995,-9.61,,59958.0, ,21.4,>,Ia,352.4339166666666,-9.609527777777776,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type I
2384,2002ja, ,ANON,352.54,-9.583333333333332,,89937.0, ,22.2,>,Ia,352.54029166666663,-9.583833333333333,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type I
2730,2003jq, ,ANON,352.75499999999994,-9.448333333333332,,59958.0, ,19.8,>,Ia,352.71329166666663,-9.47611111111111,ESSENCE project,Type I
2959,2004fm, ,ANON,351.74249999999995,-9.621666666666666,,119916.0, ,22.5,>,Ia,351.74225,-9.622055555555557,ESSENCE project,Type I
2958,2004fl, ,ANON,351.74249999999995,-9.621666666666666,,149896.0, ,21.9,>,Ia,351.7413333333333,-9.62197222222222,ESSENCE project,Type I
2955,2004fi, ,ANON,352.43999999999994,-8.909999999999998,,89938.0, ,21.5,>,Ia,352.4389583333333,-8.910083333333333,ESSENCE project,Type I
2750,2003kk, ,ANON,351.4,-9.528333333333332,,59958.0, ,20.3,>,Ia,351.40025,-9.529083333333332,ESSENCE project,Type I
2728,2003jo, ,ANON,351.35,-9.433333333333332,,149896.0, ,22.8,>,Ia,351.35012499999993,-9.4335,ESSENCE project,Type I
2734,2003ju, ,ANON,351.75749999999994,-9.401666666666666,,59958.0, ,21.6,>,Ia,351.757125,-9.40125,ESSENCE project,Type I
2735,2003jv, ,ANON,351.99249999999995,-8.953333333333331,,119917.0, ,22.2,>,Ia,351.9925833333333,-8.953277777777776,ESSENCE project,Type I
2729,2003jp, ,ANON,351.51249999999993,-8.986666666666665,,89937.0, ,22.9,>,Ib/c,351.5136666666666,-8.989638888888887,ESSENCE project,Type I
2954,2004fh, ,ANON,352.11249999999995,-8.614999999999998,,59958.0, ,20.9,>,Ia,352.1133333333333,-8.615333333333332,ESSENCE project,Type I
2779,2003ln, ,ANON,352.61249999999995,-8.596666666666666,,179876.0, ,22.9,>,Ia,352.613125,-8.596388888888887,ESSENCE project,Type I
2963,2004fq, ,ANON,351.93999999999994,-8.52,,149896.0, ,21.5,>,Ia,351.94016666666664,-8.520222222222221,ESSENCE project,Type I
2778,2003lm, ,ANON,351.1075,-8.764999999999999,,119917.0, ,22.5,>,Ia,351.1062916666666,-8.764194444444444,ESSENCE project,Type I
2253,2002dz, ,M-01-1-52,3.3925,-5.093333333333333,68.0,5361.0,.SAT3P,18.3,>,Ib/c,3.3919999999999995,-5.096027777777777,"Beutler, Li+",Type I
2782,2003lq, ,U    5,0.7749999999999999,-1.913333333333333,63.0,7271.0,.SB.4.,15.9,>,Ia,0.7667499999999999,-1.9126388888888888,"Pugh, Foley+",Type I
2666,2003he, ,M-01-01-010,359.73749999999995,-2.25,72.0,7649.0,.S..4.,18.1,>,Ia,359.7377083333333,-2.248083333333333,"Graham, Pugh, Li+",Type I
1073,1996bd, ,ANON,359.86249999999995,-0.9383333333333332,,83942.0, ,21.6,>,Ia,359.8624166666666,-0.9379444444444444,High-Z Supernova Search Team,Type I
1240,1997dx, ,ANON,24.587499999999995,-12.723333333333333,,62956.0, ,22.5,>,Ia,24.587916666666665,-12.723,High-Z Supernova Search Team,Type I
1388,1998dj, ,N  788,30.2775,-6.8166666666666655,40.0,4078.0,.SAS0*,16.0,>,Ia,30.278833333333328,-6.817999999999999,"Modjaz, Shefler, Halderson, King, Li, Treffers, Filippenko",Type I
1391,1998dm, ,M-01-4-44,21.56,-6.094999999999999,90.0,1968.0,.S..5.,14.9,>,Ia,21.55820833333333,-6.103888888888888,"Modjaz, Shefler, Halderson, King, Li, Treffers, Filippenko",Type I
1574,1999en, ,ANON,18.875,-4.513333333333333,,47967.0, ,19.0,>,Ia,18.87375,-4.513388888888889,Nearby Galaxies Supernova Search team,Type I
1061,1996ar, ,P 5701,22.962499999999995,-2.218333333333333,0.0,18008.0,.S..2.,18.5,>,Ia,22.96833333333333,-2.2175,Pollas,Type I
230,1963E, ,I 1703,21.605,-1.6383333333333332,,5547.0,.LBT+.,16.5,>,I,21.605166666666666,-1.6416666666666664,Mendez,Type I
913,1993ae,*,I  126,22.4475,-2.0,27.0,5712.0,.S?...,15.5,=,Ia,22.45383333333333,-1.9770277777777776,Pollas,Type I
2361,2002id, ,ANON,22.5125,-0.6749999999999999,,89338.0, ,21.2,>,Ia,22.511875,-0.6756666666666665,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type I
2379,2002iv, ,ANON,34.817499999999995,-7.7349999999999985,,59958.0, ,20.9,>,Ia,34.817125,-7.735194444444444,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type I
2423,2002kn, , ,,,,, ,25.0,>,Ia,34.19045833333333,-5.164222222222222,"Doi+ (Supernova Cosmology Project), Subaru high-redshift supernova search group (Yasuda et al.), Subaru Observatory SXDS Project members",Type I
2110,2001kh, ,ANON,36.315,-5.388333333333333,,65954.0, ,21.0,>,Ia,36.314833333333326,-5.388888888888888,"Ellis, Pain, Raux, Sainton, Schahmaneche, Sullivan",Type I
2691,2003id, ,M-01-07-002,35.4,-5.52,48.0,2288.0,DS..5.,16.7,>,Ic:,35.39874999999999,-5.530833333333333,"Singer, Beutler, Swift, Li+",Type I
2424,2002ko, ,ANON,34.24999999999999,-4.971666666666666,,170881.0, ,23.4,>,Ia,34.250208333333326,-4.972111111111111,"Doi+ (Supernova Cosmology Project), Subaru high-redshift supernova search group (Yasuda et al.), Subaru Observatory SXDS Project members",Type I
2427,2002kr, , ,,,,, ,24.5,>,Ia,34.393791666666665,-4.896277777777777,"Doi+ (Supernova Cosmology Project), Subaru high-redshift supernova search group (Yasuda et al.), Subaru Observatory SXDS Project members",Type I
2422,2002km, ,ANON,34.09499999999999,-4.823333333333332,,181674.0, ,23.9,>,Ia,34.099708333333325,-4.824833333333332,"Doi+ (Supernova Cosmology Project), Subaru high-redshift supernova search group (Yasuda et al.), Subaru Observatory SXDS Project members",Type I
2401,2002jr, ,ANON,31.169999999999995,-5.161666666666666,,119917.0, ,22.7,>,Ia,31.170958333333328,-5.161305555555555,Challis  (ESSENCE project),Type I
1765,2000ea, ,ANON,32.474999999999994,-5.471666666666666,,125913.0,.S...L,23.3,>,Ia,32.47508333333333,-5.471611111111111,High-Z Supernova Search Team,Type I
1766,2000eb, ,ANON,32.607499999999995,-5.426666666666666,,203859.0, ,23.6,>,Ia,32.60729166666666,-5.426027777777777,High-Z Supernova Search Team,Type I
2773,2003lh, ,ANON,32.5825,-4.991666666666666,,149896.0, ,22.7,>,Ia,32.581291666666665,-4.992305555555555,ESSENCE project,Type I
2738,2003jy, ,ANON,32.724999999999994,-4.43,,89938.0, ,22.7,>,Ia,32.724916666666665,-4.430499999999999,ESSENCE project,Type I
1767,2000ec, ,ANON,32.88249999999999,-4.2316666666666665,,140902.0,.E?..E,22.7,>,Ia,32.88345833333333,-4.23225,High-Z Supernova Search Team,Type I
2776,2003lk, ,ANON,32.802499999999995,-4.2316666666666665,,119917.0, ,22.8,>,Ia,32.803416666666664,-4.231138888888888,ESSENCE project,Type I
2761,2003kv, ,ANON,32.427499999999995,-3.78,,239834.0, ,23.4,>,Ia,32.427166666666665,-3.780166666666666,ESSENCE project,Type I
2386,2002jc, ,ANON,31.8625,-3.838333333333333,,149896.0, ,23.1,>,Ia,31.863666666666663,-3.839083333333333,"Smith, Suntzeff (CTIO), Stubbs - ESSENCE project",Type I
2753,2003kn, ,ANON,32.315,-3.5949999999999998,,59958.0, ,21.3,>,Ia,32.314791666666665,-3.594833333333333,ESSENCE project,Type I
2722,2003ji, ,ANON,31.9775,-3.475,,59958.0, ,20.9,>,Ia,31.9785,-3.474555555555555,ESSENCE project,Type I
2754,2003ko, ,ANON,32.7775,-3.798333333333333,,119917.0, ,21.7,>,Ia,32.776999999999994,-3.798916666666666,ESSENCE project,Type I
957,1994am, ,ANON,40.00749999999999,-1.6216666666666664,,111523.0,.E....,21.7,>,Ia,40.00858333333333,-1.6208055555555554,Supernova Cosmology Project,Type I
928,1994H, ,ANON,40.02,-1.5683333333333331,,112122.0,.S....,21.9,>,Ia,40.01970833333333,-1.5684999999999998,"Perlmutter, Pennypacker, et al.",Type I
1967,2001eu, ,ANON,39.495,-1.028333333333333,,40500.0, ,19.4,>,Ia,39.495,-1.0278055555555554,Miknaitis,Type I
2320,2002go, ,ANON,41.42999999999999,-0.6299999999999999,,70751.0, ,21.3,>,Ia,41.42983333333333,-0.6290833333333332,Sloan Digital Sky Survey,Type I
2325,2002gt, ,ANON,40.12499999999999,-0.3783333333333333,,110923.0, ,21.7,>,Ia,40.12408333333333,-0.3794444444444444,Sloan Digital Sky Survey,Type I
2654,2003gs, ,N  936,36.905,-1.1549999999999998,38.0,1430.0,.LB...,13.4,>,IaPec,36.90983333333333,-1.1598333333333333,Evans,Type I
2062,2001il, ,ANON,36.67249999999999,-0.9583333333333331,,62357.0, ,20.4,>,Ia,36.67229166666666,-0.9588055555555556,Miknaitis (Sloan Digital Sky Survey),Type I
2084,2001jh, ,ANON,37.24999999999999,0.345,,264000.0, ,23.1,>,Ia,37.25120833333333,0.345611111111111,High-Z Supernova Search Team,Type I
1592,1999ff, ,ANON,38.47749999999999,0.5483333333333332,,137905.0, ,23.1,>,Ia,38.47662499999999,0.5487777777777777,High-Z Supernova Search Team,Type I
1999,2001ga, ,ANON,36.965,0.6216666666666666,,38973.0, ,19.5,>,Ia,36.96566666666666,0.6224722222222221,"Barris, Miknaitis",Type I
1594,1999fh, ,ANON,36.99249999999999,0.6599999999999999,,107925.0, ,22.4,>,Ia,36.99304166666666,0.6602222222222222,High-Z Supernova Search Team,Type I
1596,1999fj, ,ANON,37.1,0.6533333333333332,,242832.0,.....L,23.5,>,Ia,37.09883333333333,0.6526666666666666,High-Z Supernova Search Team,Type I
1595,1999fi, ,ANON,37.04749999999999,0.7283333333333333,,233838.0, ,24.1,>,Ia,37.048625,0.7275833333333332,High-Z Supernova Search Team,Type I
1009,1995ax, ,ANON,36.6075,0.8116666666666665,,184372.0,.E-L..,22.6,>,I:,36.6075,0.8122777777777777,Supernova Cosmology Project,Type I
2323,2002gr, ,ANON,36.80499999999999,0.8983333333333332,,26981.0, ,21.8,>,Ia,36.80508333333333,0.8993888888888888,Sloan Digital Sky Survey,Type I
1008,1995aw, ,ANON,36.2325,0.8849999999999999,,119917.0, ,22.5,>,I:,36.23141666666666,0.8854166666666665,Supernova Cosmology Project,Type I
1771,2000eg, ,ANON,37.58749999999999,1.0633333333333332,,161888.0,.S...L,22.5,>,Ia,37.587708333333325,1.0634722222222222,High-Z Supernova Search Team,Type I
1599,1999fm, ,ANON,37.6475,1.1616666666666664,,278807.0, ,23.6,>,Ia,37.64841666666666,1.1620277777777777,High-Z Supernova Search Team,Type I
1769,2000ee, ,ANON,36.895,1.1966666666666663,,140902.0,.S...L,22.6,>,Ia,36.893875,1.197055555555555,High-Z Supernova Search Team,Type I
1597,1999fk, ,ANON,37.225,1.2733333333333332,,,.....L,24.3,>,Ia,37.22449999999999,1.273388888888889,High-Z Supernova Search Team,Type I
2319,2002gn, ,LEDA1126408,29.2275,-1.1149999999999998,,13078.0, ,19.8,>,Ia,29.22733333333333,-1.113611111111111,Sloan Digital Sky Survey,Type I
2321,2002gp, ,LEDA1148653,28.1525,-0.2283333333333333,,53031.0, ,21.2,>,Ia,28.153166666666664,-0.2254166666666666,Sloan Digital Sky Survey,Type I
2365,2002ih, ,ANON,29.267499999999995,-0.6333333333333332,,59958.0, ,21.5,>,Ia,29.26870833333333,-0.6339444444444443,"Miknaitis, Miceli, Garg  (Sloan Digital Sky Survey(SDSS))",Type I
2914,2004dt, ,N  799,30.552499999999995,-0.0999999999999999,32.0,5915.0,.SB.1.,15.9,>,Ia,30.55320833333333,-0.0976388888888888,"Moore, Li+",Type I
1065,1996av, ,ANON,28.474999999999994,0.2583333333333333,,152894.0, ,22.4,>,Ia,28.475916666666663,0.2584999999999999,High-Z Supernova Search Team,Type I
