recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc
2687,"2003hz", ,"P17866",87.03499999999998,46.254999999999995,,6047," ",16.7,>,"Ia",87.03275,46.25633333333333,"Singer, Beutler, Swift, Li+"
2500,"2003as", ,"M 08-10-7",82.18749999999999,49.883333333333326,32,6962,".S..5.",15.7,=,"IIn",82.19087499999999,49.883083333333325,"Boles"
2001,"2001gc", ,"U 3375",88.85499999999999,51.91166666666666,62,5783,".SAT5.",15.5,>,"Ia",88.85891666666666,51.909499999999994,"Schwartz, Li +"
2129,"2002F", ,"U 2885",58.25999999999999,35.589999999999996,62,5802,".SAT5.",17.8,>,"II",58.24383333333333,35.58355555555555,"Swift, Li +"
2929,"2004ei", ,"U 2817",55.38499999999999,37.22666666666666,,5755,".S?...",17.9,>,"II",55.38620833333333,37.22505555555555,"Boles"
2695,"2003ih", ,"U 2836",55.98749999999999,39.294999999999995,30,4963,".L..-.",18.1,>,"Ib/c",55.99049999999999,39.295333333333325,"Armstrong"
1827,"2001I", ,"U 2836",55.98749999999999,39.294999999999995,30,4963,".L..-*",17.2,>,"IIn",55.98866666666666,39.29427777777777,"Beckmann, Li +; A. Dimai"
2694,"2003ig", ,"U 2971",62.42999999999999,37.01,55,5881,".S..5.",18.2,>,"Ic",62.43124999999999,37.012722222222216,"Graham, Li+"
700,"1989R", ,"U 2912",59.88749999999999,42.614999999999995,66,5396,".S..0.",15.0,>,"IIPec:",59.88583333333332,42.61916666666666,"Mueller, Brewer"
1968,"2001ev", ,"U 2653",49.66,37.60833333333333,73,6939,".S..6.",18.8,>,"II",49.66266666666666,37.60883333333333,"Papenkova, Li +"
1619,"1999gg", ,"M 07-8-11",51.997499999999995,39.904999999999994,51,4337,".S..5.",16.8,>,"II",51.99529166666666,39.90519444444444,"Boles"
2272,"2002es", ,"U 2708",50.95249999999999,40.55833333333333,17,8523,".L....",16.0,=,"IaPec",50.94679166666666,40.56486111111111,"Li, Swift, Ganeshalingam+"
907,"1993Y", ,"U 2771",52.84749999999999,39.74166666666666,69,5989,".L....",17.1,>,"Ia",52.85170833333333,39.750722222222215,"Mueller"
2472,"2003O", ,"U 2798",54.54249999999999,40.98333333333333,73,4941,".SB.4.",16.9,>,"II",54.53804166666666,40.97722222222222,"Rich"
1969,"2001ew", ,"ANON",48.279999999999994,42.43666666666666,70,,".S....",17.0,>,"Ia",48.28008333333333,42.43749999999999,"Boles"
911,"1993ac", ,"P17787",86.60249999999999,63.35833333333333,,14690," ",18.4,=,"Ia:",86.59833333333331,63.3686111111111,"Mueller"
2360,"2002ic", ,"ANON",22.512499999999996,21.884999999999998,,19786," ",17.8,>,"Ia",22.510624999999997,21.885249999999996,"Wood-Vasey, Aldering, Nugent, Rudas"
2358,"2002ia", ,"ANON",26.379999999999995,24.13833333333333,,21585," ",18.5,>,"Ia",26.410499999999995,24.135527777777774,"Wood-Vasey, Aldering, Nugent, Rudas"
568,"1983R", ,"I 1731",27.552499999999995,27.196666666666662,56,3503,".SBS5.",14.0,=,"Ia",27.55458333333333,27.198611111111106,"Wild, Metlova"
2972,"2004fz", ,"N  783",30.277499999999996,31.88333333333333,48,5190,".S..5.",15.9,>,"Ia",30.27670833333333,31.87894444444444,"Boles; Arbour"
2820,"2004ad", ,"N  789",30.607499999999995,32.071666666666665,,5267,".I....",17.0,>," ",30.609958333333328,32.07283333333333,"Armstrong"
2274,"2002eu", ,"LEDA 212843",27.427499999999995,32.62499999999999,,11280," ",17.4,>,"Ia",27.43166666666666,32.628611111111105,"Weisz, Li+"
1748,"2000dj", ,"N  735",29.157499999999995,34.17666666666666,73,4629,".S..3.",17.0,>,"II",29.169291666666663,34.170111111111105,"Lick Observatory Supernova Search"
398,"1972L", ,"N  735",29.159999999999997,34.175,73,4629,".S..3.",15.0,>," ",29.169166666666662,34.17055555555555,"Huchra"
2713,"2003iz", ,"U  638",15.522499999999997,26.951666666666664,,14453,"..cD..",17.7,>,"Ia",15.528124999999998,26.939249999999998,"Beutler, Li+"
2768,"2003lc", ,"U  934",20.867499999999996,30.784999999999997,74,10494,".S..2.",17.0,>,"Ia",20.85758333333333,30.787472222222217,"Puckett, Cox"
998,"1995am", ,"C 501-16",11.959999999999999,29.959999999999997,0,5012,".L....",15.0,>,"Ia",11.956041666666666,29.95744444444444,"Lovas"
183,"1960P", ,"U  673",16.54,31.404999999999994,71,6253,".SA.5?",17.5,>,"I",16.54183333333333,31.406555555555553,"Gomes"
2657,"2003gv", ,"M 05-3-66",17.217499999999998,32.099999999999994,24,10423,".S..2.",18.4,>,"II",17.22158333333333,32.09980555555555,"Weisz, Li+"
1749,"2000dk", ,"N  382",16.849999999999998,32.40333333333333,,5229,".E...*",15.9,=,"Ia",16.848,32.40644444444444,"Lick Observatory Supernova Search"
198,"1961M", ,"U  724",17.499999999999996,32.36833333333333,38,5179,".S..3.",17.0,>," ",17.502999999999997,32.378277777777775,"Kearns"
2931,"2004ek", ,"U  724",17.4975,32.36833333333333,38,5179,".S..3.",16.8,>,"II",17.493791666666663,32.37991666666666,"Boles, Puckett, Cox"
203,"1961R", ,"M 05-03-76",17.509999999999998,32.91333333333333,52,10417,"DS....",17.0,>," ",17.506124999999997,32.91530555555555,"Humason"
984,"1995Y", ,"N  410",17.742499999999996,33.151666666666664,,5294,".E+...",15.5,>,"I",17.74833333333333,33.14505555555555,"Mueller"
1410,"1998ef", ,"U  646",15.859999999999998,32.23499999999999,68,5319,".SB.4.",15.0,=,"Ia",15.86195833333333,32.236777777777775,"Li, Modjaz, Halderson, Shefler, King, Papenkova, Treffers, Filippenko"
985,"1995Z", ,"U  937",20.904999999999998,32.629999999999995,,4748,".E?...",18.5,>,"II",20.909791666666663,32.63141666666666,"Mueller"
1570,"1999ej", ,"N  495",20.732499999999998,33.471666666666664,47,4114,"PSBS0P",15.4,>,"Ia",20.73908333333333,33.466111111111104,"Lick Observatory Supernova Search"
245,"1963T", ,"P 5170",21.102499999999996,34.04333333333333,76,,".S..5.",17.5,>," ",21.10208333333333,34.04425,"Kowal"
1960,"2001en", ,"N  523",21.334999999999997,34.025,77,4758,".S..3.",14.6,>,"Ia",21.345249999999997,34.02511111111111,"Hutchings, Li +; Beijing Astronomical Observatory"
239,"1963N", ,"N  536",21.589999999999996,34.703333333333326,72,5189,".SBR3.",17.7,>,"II",21.580666666666662,34.70133333333333,"Gates"
