recno,SN,n_SN,Gname,RAG,DEG,Gi,GVhel,Gtype,mag,l_mag,Type,RA2000,DE2000,Disc
1970,"2001ex", ,"U 3595",104.00249999999998,55.40166666666666,36,7908,"RSBR3*",17.0,>,"Ia",103.99954166666666,55.400833333333324,"Boles"
1424,"1998et", ,"LEDA2570576",104.82999999999998,57.743333333333325,,11934," ",18.0,>,"IIn",104.82808333333332,57.744722222222215,"Mueller"
1821,"2001C", ,"P19975",104.89249999999998,59.518333333333324,57,3280,".S..5.",14.7,>,"Ia",104.90041666666666,59.517111111111106,"Puckett, Sehgal"
1758,"2000dt", ,"U 3411",92.72999999999999,62.01999999999999,51,6798,".S..5.",17.5,>,"Ib",92.72783333333332,62.02427777777777,"Armstrong"
2266,"2002em", ,"U 3430",93.95499999999998,64.42999999999999,72,4059,".S....",18.0,>,"II",93.96791666666665,64.43030555555555,"Armstrong"
1795,"2000fe", ,"U 4870",138.7325,46.90333333333333,70,4218,".SB.5.",16.1,>,"II",138.72979166666664,46.90055555555555,"Schwartz, Li, Filippenko +"
2483,"2003ab", ,"U 4930",139.79999999999998,48.96833333333333,43,8818,".S..5.",17.6,>,"II",139.80524999999997,48.96919444444444,"Boles"
1825,"2001G", ,"M 08-17-43",137.3875,50.28166666666666,74,4500,".S..1.",14.2,>,"Ia",137.38824999999997,50.28091666666666,"Armstrong"
2984,"2004gl", ,"M 08-16-31",132.51999999999998,49.24666666666666,38,,".S....",18.4,>," ",132.52037499999997,49.24549999999999,"Boles"
1760,"2000dv", ,"U 4671",134.17749999999998,52.10499999999999,41,4053,".S..2.",17.5,>,"Ib",134.1808333333333,52.10366666666666,"Papenkova"
153,"1957A", ,"N 2841",140.5075,50.974999999999994,63,638,".SAR3.",14.2,=,"IPec",140.4633333333333,50.99777777777777,"Schuerer"
1511,"1999by", ,"N 2841",140.5075,50.974999999999994,63,638,".SAR3*",13.1,=,"IaPec",140.4669583333333,51.00181666666666,"Arbour, Lick Observatory Supernova Search, Berko"
2765,"2003kz", ,"M 09-16-34",144.65249999999997,52.294999999999995,,15110,".E....",18.5,>,"Ia",144.64695833333332,52.298111111111105,"Boles"
2119,"2001kq", ,"LEDA3087026",143.39249999999998,55.173333333333325,,22095," ",19.1,>,"Ia",143.39295833333333,55.17388888888888,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))"
2112,"2001kj", ,"LEDA2572362",140.62249999999997,57.908333333333324,,18767," ",18.1,>,"Ia",140.62145833333332,57.90813888888888,"Madgwick, Hewett, Mortlock, Wang (Sloan DigitalSky Survey (SDSS))"
2969,"2004fw", ,"U 4633",133.05999999999997,52.88999999999999,64,5777,".SB.3.",18.3,>,"Ia",133.060625,52.89177777777777,"Puckett, Peoples"
2204,"2002cc", ,"ANON",128.51,55.65166666666666,,19786," ",18.5,>,"Ia",128.50820833333333,55.65344444444444,"Li +"
2480,"2003Y", ,"I  522",133.64499999999998,57.16666666666666,38,5079,".L....",16.7,>,"Ia",133.64416666666665,57.17216666666666,"Beutler, Li+"
1757,"2000ds", ,"N 2768",137.90499999999997,60.03666666666666,,1373,".E....",17.3,>,"Ib/c",137.90099999999998,60.028388888888884,"Puckett, Dowdle"
965,"1995F", ,"N 2726",136.23999999999998,59.93166666666666,74,1518,".S..1?",14.8,>,"Ib/c",136.23916666666665,59.93297222222221,"Lane, Gray, Miskolczi"
2481,"2003Z", ,"N 2742",136.89,60.47999999999999,61,1289,".S..5.",16.5,>,"II",136.88524999999998,60.48819444444444,"Qiu, Hu"
1903,"2001ci", ,"N 3079",150.49499999999998,55.67999999999999,90,1125,".SBS6.",17.7,>,"Ic",150.48887499999998,55.68738888888888,"Swift, Li, Filippenko +"
1837,"2001S", ,"U 5491",152.99249999999998,58.864999999999995,59,9100,".S..3.",17.0,>,"II",152.98833333333332,58.86747222222221,"Puckett, Sehgal"
2055,"2001ie", ,"U 5542",154.21999999999997,60.28499999999999,,9215,".E...*",16.1,>,"Ia",154.21124999999998,60.27902777777777,"Bincoletto"
2766,"2003la", ,"M 10-15-89",157.58749999999998,61.26333333333333,43,9233,".S..2.",18.0,>,"II",157.58420833333332,61.26347222222221,"Boles"
1110,"1996co", ,"LEDA2633456",154.74249999999998,62.25499999999999,,," ",18.0,>," ",154.7395,62.253361111111104,"Mueller"
1495,"1999bh", ,"N 3435",163.7025,61.28999999999999,50,5158,".S..3.",16.8,>,"Ia",163.6957083333333,61.28888888888888,"Lick Observatory Supernova Search"
2458,"2003A", ,"U 5904",162.15749999999997,66.36166666666665,86,6591,"DS..3.",17.4,>,"Ib/c",162.1410833333333,66.37483333333333,"Schwartz, Li+"
2781,"2003lp", ,"U 6711",176.12499999999997,69.72999999999999,55,2702,".S?...",16.9,>,"II",176.11904166666665,69.73183333333333,"Puckett, Toth"
1367,"1998cn", ,"N 3735",173.98999999999998,70.535,90,2696,".SA.5*",15.8,>,"Ia",173.97666666666663,70.53616666666666,"Schwartz"
1647,"2000L", ,"U 5520",153.75249999999997,65.13999999999999,53,3315,".SB.5.",17.5,>,"II",153.75758333333332,65.13430555555554,"Puckett"
1340,"1998bm", ,"I 2458",140.37249999999997,64.23666666666666,66,1534,".S..0.",17.4,>,"II",140.37704166666666,64.24038888888887,"Li, Modjaz, Treffers, Filippenko"
894,"1993J", ,"N 3031",148.89,69.06666666666666,61,-34,".SAS2.",10.8,=,"IIb",148.85416666666666,69.02024999999999,"Garcia"
2829,"2004am", ,"N 3034",148.96749999999997,69.67999999999999,68,203,".S?...",16.0,>,"II",148.9442083333333,69.67724999999999,"Singer, Pugh, Li+"
1438,"1999C", ,"ANON",152.21249999999998,71.17833333333333,,37474," ",19.6,>,"Ia",152.21337499999998,71.17858333333332,"Gal-Yam, Maoz"
1181,"1997bq", ,"N 3147",154.22249999999997,73.39999999999999,30,2820,".SAT4.",14.5,>,"Ia",154.2722083333333,73.38391666666665,"Stephen Laurie"
2845,"2004bc", ,"N 3465",164.87999999999997,75.19166666666666,34,7221,".S..2.",16.5,>,"Ia",164.88087499999997,75.1913611111111,"Manzini"
2473,"2003P", ,"M 09-13-107",120.31249999999999,55.74166666666666,,," ",18.0,>,"Ia",120.31512499999998,55.742999999999995,"Boles"
2548,"2003cp", ,"M 10-12-78",122.29749999999999,57.684999999999995,59,5927,".S..3.",16.2,>,"Ia",122.29637499999998,57.68722222222222,"Armstrong"
1953,"2001eg", ,"U 3885",112.77999999999999,59.481666666666655,38,3809,".S..4.",17.8,>,"Ia",112.77479166666664,59.47744444444444,"Armstrong"
1225,"1997di", ,"U 4015",116.95249999999999,62.32333333333332,44,5709,".SBS5.",18.1,>,"II",116.93520833333332,62.32755555555555,"Qiu, Qiao, Li, Hu, Esamdin"
2748,"2003ki", ,"M 11-10-034",117.89249999999998,63.92833333333333,52,7495,".SB...",18.0,>,"IIb",117.88849999999998,63.93099999999999,"Boles"
706,"1989X",*,"ANON",112.07499999999999,63.89999999999999,,," ",17.5,>," ",112.06416666666665,63.90638888888888,"Lovas"
1427,"1998ex", ,"P21593",115.42499999999998,64.73166666666665,21,11200,".S..5.",18.5,>,"Ia",115.42616666666665,64.7339722222222,"Mueller"
2416,"2002kg", ,"N 2403",114.20999999999998,65.60166666666666,60,131,".SB.5.",19.0,>,"IIn",114.25762499999999,65.57480555555554,"Schwartz, Li +"
2904,"2004dj", ,"N 2403",114.20999999999998,65.60166666666666,60,131,".SB.5.",11.3,>,"IIP",114.32091666666665,65.59938888888888,"Itagaki"
2336,"2002he", ,"U 4322",125.00749999999998,62.82999999999999,,7364,".E....",16.1,=,"IaPec:",124.99512499999999,62.82033333333332,"Graham, Li+"
2698,"2003ik", ,"M 11-10-56",121.03249999999998,62.98333333333333,90,7115,".S..5.",16.6,>,"Ia",121.02716666666664,62.988833333333325,"Boles"
1718,"2000ce", ,"U 4195",121.27749999999999,66.78333333333332,60,4888,".SBR3.",16.6,=,"Ia",121.28937499999998,66.78755555555554,"Puckett"
1951,"2001ee", ,"N 2347",109.01749999999998,64.71166666666666,47,4421,"PSAR3*",17.0,>,"II",109.01724999999999,64.70544444444444,"Armstrong"
2124,"2002A", ,"U 3804",110.64499999999998,71.59833333333333,53,2887,".S..5.",16.6,>,"IIn",110.64916666666664,71.59488888888887,"Qiu, Hu"
1117,"1997E", ,"N 2258",101.93999999999998,74.48333333333332,51,4059,".LAR0.",15.6,>,"Ia",101.90874999999998,74.49749999999999,"Kushida"
686,"1989D", ,"N 2963",146.95749999999998,72.96499999999999,61,6538,".SB.2.",16.2,=,"Ia",146.96166666666664,72.97080555555554,"Wild"
2679,"2003hr", ,"N 2551",126.20999999999998,73.41166666666666,48,2344,".SAS0.",16.8,>,"II",126.16274999999999,73.4064722222222,"Boles"
600,"1985A", ,"N 2748",138.43749999999997,76.47333333333333,71,1476,".SA.4.",13.9,=,"Ia",138.42666666666665,76.4733611111111,"Wild"
1132,"1997T", ,"U 6896",178.89999999999998,80.21666666666665,,12591,"T.....",17.6,>,"Ia",178.94774999999998,80.21183333333332,"Mueller"
1214,"1997cx",*,"N 3057",151.41249999999997,80.28499999999998,51,1524,".SBS7.",14.2,=,"II",151.4059583333333,80.29099999999998,"Schwartz"
964,"1995E", ,"N 2441",117.97749999999998,73.01499999999999,24,3470,".SBR3*",16.8,=,"Ia",117.98645833333332,73.0096111111111,"Gabrijelcic"
640,"1987L", ,"N 2336",111.76999999999998,80.17666666666666,56,2204,".SBR4.",14.2,>,"Ia",111.85979166666665,80.15849999999999,"Patchick"
2763,"2003kx", ,"U 4078",121.07999999999998,84.64166666666665,90,1860,".S..4.",16.8,>,"II",121.05145833333331,84.64091666666666,"Armstrong"
528,"1982B", ,"N 2268",108.56249999999999,84.37999999999998,61,2222,".SBR4.",13.5,=,"Ia",108.64004166666665,84.38666666666666,"Wild"
1786,"2000ev", ,"U 3500",101.98249999999999,84.16333333333333,81,4388,".S..5.",16.2,>,"IIn",101.96666666666665,84.16727777777777,"Manzini"
906,"1993X", ,"N 2276",111.80249999999998,85.75499999999998,30,2410,".SBT5.",16.3,>,"II",111.91916666666665,85.77397222222221,"Treffers, Filippenko, Leibundgut, Paik, Lee, Richmond"
2971,"2004fy", ,"M 15-1-10",175.1675,89.085,24,,".S..1.",17.0,>,"Ia",175.3123333333333,89.08627777777777,"Puckett, Kerns"
515,"1980Q", ,"ANON",225.33749999999998,1.7616666666666665,,,".S....",19.0,>," ",225.33912499999997,1.7598888888888886,"McNaught"
2901,"2004dg", ,"N 5806",225.00249999999997,1.8916666666666664,60,1359,".SB.3.",17.0,>,"II",224.99566666666664,1.8904444444444441,"De_Pasquale, F.Guerri, G.Guerri, Cristofanelli, Romanelli, Vagnozzi"
633,"1987B", ,"N 5850",226.78249999999997,1.5449999999999997,40,2556,".SBR3.",15.0,=,"IIn",226.7624583333333,1.5036666666666665,"Evans"
190,"1961E", ,"M 01-39-14A",229.39999999999998,5.055,51,12891,".S..1.",17.0,>," ",229.39624999999998,5.05386111111111,"Gomes"
227,"1963B", ,"P54219",227.87999999999997,5.244999999999999,43,11798,".S....",17.0,>,"I",227.88091666666662,5.244111111111111,"Zwicky"
1344,"1998bq", ,"ANON",227.58499999999998,5.8549999999999995,,," ",19.2,>," ",227.58554166666664,5.854583333333332,"Mount Stromlo Abell Cluster Supernova Search Team"
1345,"1998br", ,"ANON",227.60499999999996,5.924999999999999,,," ",20.5,>," ",227.60391666666663,5.924999999999999,"Mount Stromlo Abell Cluster Supernova Search Team"
1048,"1996ae",*,"N 5775",223.48999999999998,3.543333333333333,79,1681,".SB.5.",16.5,>,"IIn",223.4992083333333,3.529527777777777,"Vagnozzi, Piermarini, Russo"
2234,"2002dg", ,"ANON",224.31749999999997,5.8999999999999995,,14000," ",18.5,>,"Ib",224.31787499999996,5.9001666666666654,"Wood-Vasey, Aldering, Nugent"
1842,"2001X", ,"N 5921",230.48499999999996,5.069999999999999,44,1480,".SBR4.",14.5,>,"II",230.48104166666664,5.0618333333333325,"Fan, Qiu, Hu"
233,"1963H", ,"P54873",230.58999999999997,5.391666666666666,,12466,".E.3..",18.5,>," ",230.58874999999998,5.392722222222221,"Zwicky"
2315,"2002gj", ,"ANON",234.10499999999996,9.471666666666666,,131909," ",22.9,>,"I",234.10624999999996,9.471666666666666,"Supernova Cosmology Project, Knop"
2316,"2002gk", ,"ANON",234.28249999999997,9.604999999999999,,62956," ",21.3,>,"Ia",234.28124999999997,9.605277777777776,"Supernova Cosmology Project, Knop"
2182,"2002bg", ,"M 02-38-31",224.90999999999997,13.214999999999998,44,12814,".S..1.",16.9,>,"Ia",224.9134583333333,13.21236111111111,"Puckett, Newton"
1541,"1999dg", ,"U 9758",227.86749999999998,13.48333333333333,0,6613,".L....",15.8,>,"Ia",227.86837499999996,13.484916666666665,"Lick Observatory Supernova Search"
2812,"2004V", ,"LEDA1527482",222.72999999999996,17.21833333333333,,12591," ",18.0,>,"II",222.73054166666662,17.220166666666664,"Graham, Swift, Li+"
2877,"2004ci", ,"N 5980",235.37749999999997,15.78833333333333,74,4092,".S..5.",17.5,>,"II",235.37391666666664,15.786888888888887,"Armstrong; Park, Foley+"
764,"1991M", ,"I 1151",239.63499999999996,17.441666666666663,72,2169,".SBT5.",14.4,>,"Ia",239.6450833333333,17.45797222222222,"Pennypacker, Perlmutter, et al."
242,"1963Q", ,"I 1195",241.66999999999996,17.191666666666663,46,11962,".SBR4.",17.0,>," ",241.66816666666662,17.19244444444444,"Reaves"
252,"1964C", ,"ANON",241.52499999999998,17.45,,,".S..3.",17.3,>,"I",241.52862499999998,17.459666666666664,"Zwicky"
210,"1962C", ,"M 03-41-85",241.26999999999995,17.58,70,,".S..5.",18.0,>," ",241.27079166666664,17.581833333333332,"Zwicky"
1729,"2000cp", ," ",241.36499999999998,17.83,,10260," ",18.0,>,"Ia",241.3650833333333,17.83022222222222,"Lick Observatory Supernova Search"
1032,"1996O", ,"M 03-41-115",241.49999999999997,18.196666666666665,66,11167,".SBT4.",18.0,>,"Ia",241.49999999999997,18.196666666666665,"Evans"
2890,"2004cv", ,"M 03-41-120",241.55999999999997,18.415,47,11018,".SB.4.",16.6,>,"Ia",241.5602083333333,18.415,"Armstrong"
780,"1991ad", ,"LEDA1537863",244.84999999999997,17.644999999999996,,20985," ",18.5,>,"Ia",244.8508333333333,17.646111111111107,"Mueller"
65,"1950O", ,"ANON",243.78749999999997,18.958333333333332,,," ",17.0,>," ",243.78912499999996,18.953999999999997,"Mueller"
270,"1965F", ,"P57378",242.65999999999997,19.05833333333333,47,10855,".S..5.",18.0,>," ",242.65824999999995,19.057805555555554,"Zwicky"
1854,"2001aj", ,"U10243",242.62249999999997,19.95333333333333,24,7937,".SBT5*",17.1,>,"II",242.6259583333333,19.95033333333333,"Weisz, Li +; Pozzoli; Sala"
769,"1991R", ,"LEDA140543",238.72249999999997,19.014999999999997,,10500," ",18.0,>,"Ib/c",238.72304166666663,19.01222222222222,"McNaught"
1720,"2000cg", ,"U10121",239.93999999999997,18.801666666666666,54,8830,".SBT4.",18.6,>,"II",239.93966666666662,18.80361111111111,"Lick Observatory Supernova Search"
1016,"1995be", ,"LEDA1604757",239.55499999999998,19.766666666666662,,," ",19.0,>," ",239.5595833333333,19.76847222222222,"McNaught"
1047,"1996ad", ,"ANON",239.77249999999998,19.801666666666662,,," ",18.5,>," ",239.77462499999996,19.802249999999997,"Evans"
157,"1958A", ,"M 03-41-27",240.20999999999998,19.711666666666662,32,,".S..1.",19.0,>," ",240.2092083333333,19.710305555555554,"Zwicky"
1434,"1998fe", ,"N 6027D",239.80249999999998,20.759999999999998,34,19809,".S..5.",18.0,>," ",239.80349999999996,20.76083333333333,"Lick Observatory Supernova Search"
2863,"2004bu", ,"U10089",238.71749999999997,21.116666666666664,90,5495,".S..5.",17.1,>,"Ic",238.71679166666664,21.11972222222222,"Boles"
1220,"1997dd",*,"N 6060",241.46749999999997,21.484999999999996,60,4439,".SBT5.",16.4,>,"IIPec",241.44299999999996,21.48730555555555,"Aoki"
1738,"2000cy", ,"M 03-40-002",233.06999999999996,18.674999999999997,52,11185,".S..5.",19.5,>," ",233.0614583333333,18.673027777777776,"Puckett; George"
2256,"2002ec", ,"M 04-36-36",229.84999999999997,20.891666666666662,,11976,"ME....",17.5,>,"Ia",229.8537083333333,20.88722222222222,"Beutler, Li+"
1373,"1998ct",*,"U10062",237.79999999999995,21.94333333333333,62,7789,".SB.5*",16.1,>,"IIn",237.79862499999996,21.94333333333333,"Schwartz"
2911,"2004dq", ,"LEDA1676985",236.19249999999997,22.83833333333333,,," ",18.3,>," ",236.19529166666663,22.83969444444444,"Boles"
2651,"2003gp", ,"U10160",240.97749999999996,25.009999999999998,71,9967,".SB.1.",18.6,>,"II",240.98112499999996,25.006888888888884,"Graham, Weisz, Li+"
2888,"2004ct", ,"M 05-37-17",235.94249999999997,28.414999999999996,0,10051,".SB.5.",17.5,>,"Ia",235.94062499999995,28.416527777777773,"Boles"
2889,"2004cu", ,"N 5550",214.61749999999998,12.883333333333331,48,7427,".S..3.",18.8,>," ",214.62424999999996,12.884166666666665,"Li, Singer+"
785,"1991ai", ,"I 4434",216.97749999999996,16.206666666666663,44,15830,".L....",18.5,>,"Ia",216.97995833333331,16.205694444444443,"Pollas"
1485,"1999ax", ,"ANON",210.99249999999998,15.851666666666665,,14990,"M.....",18.5,>,"Ia:",210.9913333333333,15.852555555555554,"Wise Observatory Optical Transients Search"
1204,"1997cn",*,"N 5490",212.48999999999998,17.544999999999998,,4855,".E....",16.2,=,"Ia",212.49066666666664,17.542305555555554,"BAO Supernova Survey"
2498,"2003aq", ,"N 5490C",212.52749999999997,17.616666666666664,38,5464,".SB.4.",18.0,>,"II",212.53016666666664,17.618138888888886,"Boles"
691,"1989I", ,"P52215",219.16249999999997,14.669999999999998,0,,".S..5.",19.0,>," ",219.16016666666664,14.669166666666664,"Pollas"
2830,"2004an", ,"I 4483",220.07999999999996,16.685,74,8979,".S..3.",18.1,>,"II",220.08154166666662,16.684388888888886,"Singer, Li+"
778,"1991ab", ,"LEDA 086449",209.83999999999997,19.681666666666665,40,19187,".S..5.",19.5,>,"Ia",209.84037499999997,19.685166666666664,"Pollas"
1909,"2001co", ,"N 5559",214.80249999999998,24.79833333333333,77,5166,".SB.3.",18.5,>,"Ib/cPec",214.79916666666665,24.795249999999996,"Aazami, Li +"
1869,"2001ay", ,"I 4423",216.57499999999996,26.246666666666663,57,9067,".S..4.",16.7,>,"Ia",216.5708333333333,26.24883333333333,"Swift, Li +"
2201,"2002bz", ,"P51473",216.16999999999996,26.624999999999996,43,11138,".S?...",16.9,>,"Ia",216.1688333333333,26.62630555555555,"Puckett, Gauthier"
2900,"2004df", ,"LEDA1659119",227.08999999999997,21.879999999999995,,6182," ",18.1,>,"II",227.08604166666663,21.87647222222222,"Boles"
1521,"1999ci", ,"ANON",223.05249999999998,27.906666666666663,,35975," ",, ,"Ia",223.05291666666665,27.906166666666664,"Wise Observatory Optical Transients Search"
221,"1962N", ,"M 05-36-13",230.29749999999996,26.331666666666663,77,10472,".S..3.",17.0,>," ",230.29724999999996,26.33233333333333,"Zwicky"
226,"1963A", ,"M 05-36-32",231.75749999999996,26.443333333333328,56,10403,".S..3.",18.1,>,"I",231.75004166666665,26.45044444444444,"Zwicky"
1547,"1999dm", ,"M 05-36-22",230.61999999999998,27.711666666666662,67,21841,".E....",18.8,>," ",230.62041666666664,27.716111111111108,"M. G. Lee, C. Park, J. Lee, S. Lee, C. G. Park"
231,"1963F", ,"M 05-36-18",230.60749999999996,27.826666666666664,,22185,".E.2..",17.6,>," ",230.60774999999998,27.824555555555552,"Zwicky"
1045,"1996ab", ,"ANON",230.28749999999997,27.92333333333333,,39000," ",19.7,=,"Ia",230.28479166666662,27.926888888888886,"Mueller"
1917,"2001cw", ,"ANON",230.77749999999997,29.658333333333328,,279000," ",24.3,>,"Ia",230.77629166666662,29.658861111111108,"Subaru high-redshift supernova search group"
209,"1962B", ,"U 9831",230.68749999999997,29.769999999999996,40,6868,".S..1.",17.0,=,"I",230.68879166666665,29.76894444444444,"Zwicky"
214,"1962G", ,"M 05-36-34",231.97249999999997,29.00833333333333,,20774,".E....",19.0,>," ",232.02749999999997,29.010055555555553,"Zwicky"
2671,"2003hj", ,"M 05-36-028",231.08499999999998,29.954999999999995,51,22594,".S..1.",17.5,>,"Ia",231.0854583333333,29.953305555555552,"Boles"
2570,"2003dl", ,"N 5789",224.14999999999998,30.23333333333333,27,1805,".SB.7.",19.2,>," ",224.15104166666663,30.23930555555555,"Graham, Li+"
2443,"2002lh", ,"ANON",221.08499999999998,31.261666666666663,,70751," ",21.0,>,"Ia",221.08491666666663,31.26233333333333,"Gal-Yam, Maoz, Prada, Guhathakurta"
1905,"2001ck", ,"P87675",219.45999999999998,30.48333333333333,70,10408,"DS..1.",16.4,>,"Ia",219.45866666666663,30.48394444444444,"Li +"
2236,"2002di", ,"M 05-40-2",253.09499999999997,30.711666666666662,,10910," ",17.6,>,"IaPec",253.0970833333333,30.711111111111105,"Puckett, Cox"
1201,"1997ck",*,"ANON",253.24999999999997,35.063333333333325,,290799," ",24.0,>," ",253.25112499999997,35.062888888888885,"High-Z Supernova Search Team"
195,"1961J", ,"M 05-38-27",242.94499999999996,29.57333333333333,21,9489,".S..1.",16.0,>,"Pec",242.9482083333333,29.57258333333333,"Kearns"
2210,"2002ci", ,"U10301",243.90749999999997,31.321666666666662,87,6663,".SB.3*",17.1,>,"Ia",243.90812499999996,31.321499999999997,"Martin, Li +"
665,"1988Q", ,"LEDA2054836",248.33499999999998,34.806666666666665,50,6595,".S....",18.7,>,"II",248.33616666666663,34.80580555555555,"Pollas"
2791,"2004A", ,"N 6207",250.76499999999996,36.83333333333333,68,852,".S..5.",15.7,>,"II",250.75791666666663,36.83680555555555,"Itagaki"
789,"1991am", ,"M 06-37-06",250.45999999999995,37.73499999999999,34,18353,".S....",18.0,>,"Ia:",250.46137499999998,37.73641666666666,"Pollas"
2688,"2003ia", ,"N 6109",244.41999999999996,35.00333333333333,12,8857,".L....",17.2,>,"Ia",244.42154166666663,35.001999999999995,"Itagaki"
2232,"2002de", ,"N 6104",244.12749999999997,35.70833333333333,38,8429,".SB.1.",16.0,>,"Ia",244.1265833333333,35.708388888888884,"Papenkova, Li+"
577,"1983ab",*,"ANON",245.64499999999995,36.754999999999995,,,".S....",16.3,=," ",245.64166666666662,36.756944444444436,"Antipin"
1371,"1998cr", ,"P57979",245.82499999999996,37.214999999999996,36,9927,".S..3.",17.6,>," ",245.82187499999998,37.21319444444444,"Puckett, Langoussis"
2640,"2003ge", ,"N 6122",245.03999999999996,37.798333333333325,,10088," ",17.8,>,"Ia",245.0364583333333,37.798249999999996,"Puckett, Langoussis"
1732,"2000cs", ,"M 07-34-15",245.88499999999996,39.12166666666666,,10574," ",17.7,>,"IIPec",245.8843333333333,39.12474999999999,"Puckett"
256,"1964G", ,"M 07-34-16",245.90749999999997,39.20166666666666,30,8382,".S..2.",16.0,>," ",245.9092083333333,39.20658333333333,"Kowal"
1207,"1997cq",*,"U10420",247.46249999999998,39.76666666666666,41,9610,".SB.3.",19.2,>,"IIPec",247.46191666666664,39.75563888888888,"McDonald Observatory Supernova Search Team"
1514,"1999cb", ,"MKN 881",246.45499999999996,40.34499999999999,48,8637,".S..5.",15.7,>,"Ia",246.4517083333333,40.34233333333333,"Trondal, Schwartz"
2208,"2002cg", ,"U10415",247.25249999999997,41.285,34,9546,".SX.3.",17.4,>,"Ic",247.25199999999995,41.28344444444444,"Li +"
1372,"1998cs", ,"U10432",247.66249999999997,41.209999999999994,90,9762,".S..3.",17.0,>," ",247.66341666666662,41.215111111111106,"Puckett"
853,"1992ap", ,"U10430",247.63749999999996,41.493333333333325,32,8957,".SBT4.",18.0,>,"Ia",247.61291666666662,41.31666666666666,"Birkle"
1733,"2000ct", ,"ANON",255.26749999999996,33.48,,8949," ",16.9,>,"IIn",255.26516666666663,33.479166666666664,"Puckett, Sehgal, Newton"
2610,"2003fa", ,"ANON",266.03249999999997,40.864999999999995,,," ",18.1,>,"Ia",266.0321666666666,40.88099999999999,"Weisz, Li+"
2594,"2003ek", ,"P 91591",259.635,41.66833333333333,86,10804,".S..5.",18.2,>,"Ia",259.63541666666663,41.666888888888884,"Ganeshalingam, Graham, Pugh, Li+"
1520,"1999ch", ,"ANON",253.68999999999997,39.986666666666665,,44969," ",, ,"Ia",253.69037499999996,39.98719444444444,"Wise Observatory Optical Transients Search"
937,"1994Q", ,"P59076",252.46499999999997,40.43333333333333,,8863," ",17.0,=,"Ia",252.46312499999996,40.43219444444444,"Pollas"
1706,"2000bs", ,"U10710",256.71999999999997,43.12166666666666,79,8387,".S..3.",17.1,=,"II",256.72779166666663,43.11158333333333,"Lick Observatory Supernova Search"
1197,"1997cg", ,"ANON",256.69499999999994,43.81999999999999,,," ",23.5,>," ",256.6956666666666,43.820583333333325,"High-Z Supernova Search Team"
1196,"1997cf", ,"ANON",256.67999999999995,43.90333333333333,,," ",23.7,>," ",256.67949999999996,43.903888888888886,"High-Z Supernova Search Team"
1194,"1997cd", ,"ANON",256.56999999999994,44.07666666666666,,152894," ",22.9,>,"Ia",256.57112499999994,44.0761111111111,"High-Z Supernova Search Team"
1195,"1997ce", ,"ANON",256.95,44.023333333333326,,131909,".S...L",23.3,>,"Ia",256.9510833333333,44.02394444444444,"High-Z Supernova Search Team"
763,"1991L", ,"M 07-34-134",250.31249999999997,39.28999999999999,48,9186,"DS..9.",18.0,>,"Ib/c",250.31266666666664,39.29241666666666,"Pollas"
1841,"2001W", ,"M 07-34-134",250.31249999999997,39.28999999999999,48,9186,"DS..9.",17.0,>,"II",250.31287499999996,39.295694444444436,"Puckett, Marcus, George"
2452,"2002lq", ,"ANON",250.11749999999998,41.23666666666666,,20985," ",21.9,>,"Ia",250.12012499999997,41.235861111111106,"European Supernova Cosmology Consortium"
2172,"2002aw", ,"LEDA2172338",249.37249999999997,40.879999999999995,,7838," ",16.6,>,"Ia",249.3710833333333,40.88047222222222,"Puckett, Peoples"
2447,"2002ll", ,"ANON",249.28499999999997,41.41,,14990," ",20.5,>,"Ia:",249.2845833333333,41.41047222222222,"European Supernova Cosmology Consortium"
2449,"2002ln", ,"LEDA3130147",249.85499999999996,41.79333333333333,,42574," ",22.5,>,"II:",249.85387499999996,41.79138888888888,"European Supernova Cosmology Consortium"
2450,"2002lo", ,"ANON",249.98499999999996,42.32333333333333,,41971," ",21.8,>,"Ia",249.9850833333333,42.32236111111111,"European Supernova Cosmology Consortium"
2451,"2002lp", ,"ANON",250.04749999999996,42.474999999999994,,34176," ",20.4,>,"Ia",250.0477083333333,42.47505555555555,"European Supernova Cosmology Consortium"
2448,"2002lm", ,"ANON",249.76749999999996,42.35833333333333,,83942," ",22.9,>,"II",249.7674583333333,42.35891666666666,"European Supernova Cosmology Consortium"
2667,"2003hf", ,"U10586",252.70249999999996,45.401666666666664,27,9384,".S..3.",17.7,>,"II",252.7015833333333,45.400499999999994,"Graham, Pugh, Li+"
2677,"2003hp", ,"U10942",265.06999999999994,51.029999999999994,70,6378,".SB.4.",18.4,>,"Ic",265.07787499999995,51.02813888888888,"Moore, Li+"
2884,"2004cp", ,"ANON",235.10249999999996,32.86666666666666,,16188," ",19.6,>,"Ia",235.10316666666662,32.86588888888888,"SDSS Collaboration"
1884,"2001bp", ,"LEDA2085703",240.53749999999997,36.71999999999999,,28480," ",17.5,>,"Ia",240.53854166666665,36.718888888888884,"Papenkova, Li +"
1856,"2001al", ,"ANON",,,,20985," ",21.1,>,"Ia",236.2155833333333,36.12472222222222,"Gal-Yam, Maoz"
